endTime,artistName,trackName,msPlayed
2022-12-24 03:16,Post Malone,rockstar (feat. 21 Savage),202680
2022-12-24 03:35,Post Malone,rockstar (feat. 21 Savage),15493
2022-12-24 07:00,Post Malone,rockstar (feat. 21 Savage),218146
2022-12-24 11:07,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),217706
2022-12-24 11:10,Charlie Puth,Attention,208786
2022-12-24 11:13,Cartoon,On & On,141863
2022-12-24 11:21,Martin Garrix,Hero,71580
2022-12-25 03:36,Alan Walker,Ignite,210288
2022-12-25 03:38,W&W,Supa Dupa Fly 2018 (FYH100 - Part 2),131000
2022-12-25 03:41,Alan Walker,Man On The Moon,178625
2022-12-25 03:44,Lost Frequencies,Melody,144757
2023-01-28 16:03,Atif Aslam,O'Meri Laila,120400
2023-03-26 05:52,Darshan Raval,Hawa Banke,171987
2023-03-26 05:55,Darshan Raval,Rabba Mehar Kari,208874
2023-03-26 05:59,Pav Dharia,Na Ja,204597
2023-03-26 06:02,Justin Bieber,Intentions (feat. Quavo),212866
2023-03-26 06:07,Justin Bieber,Come Around Me,200773
2023-05-15 16:53,Alan Walker,Man On The Moon,178625
2023-05-15 16:56,K-391,Play,2172
2023-05-15 16:56,Alan Walker,Hero,175271
2023-05-26 12:50,Suresh Wadkar,Ba Vitthala Dhav Pavre,290320
2023-05-26 12:56,Suresh Wadkar,Vitthal Aawadi Prembhav,313733
2023-05-26 12:57,Vishal Khera,Vakratunda Mahakaaya Surya Koti Ganesh Mantra,93545
2023-05-26 12:58,Dr. Balaji Tambe,Karpoor Gauram-Ghalin Lotangan,80061
2023-05-26 13:03,Shreya Ghoshal,Adhir Man Jhale,250125
2023-05-26 13:11,Ajay Gogavale,Maai Bappa Vithala,449216
2023-05-29 15:10,Ajay Gogavale,Maai Bappa Vithala,1900
2023-05-29 15:11,Ajay-Atul,Baharla Ha Madhumas,18550
2023-05-29 15:18,Ajay Gogavale,Maai Bappa Vithala,433760
2023-06-10 02:54,Nikk,Yaari,177750
2023-07-19 17:19,Justin Bieber,Baby,1500
2023-08-06 09:23,Tulsi Kumar,"Tu Laung Main Elaachi (From ""Luka Chuppi"")",170502
2023-08-06 09:24,Darshan Raval,Dil Mera Blast,5377
2023-08-06 09:27,Tulsi Kumar,"Tu Laung Main Elaachi (From ""Luka Chuppi"")",170502
2023-08-06 09:27,Darshan Raval,Dil Mera Blast,1527
2023-08-06 09:31,Shreya Ghoshal,Adhir Man Jhale,250125
2023-08-06 09:43,Abhijeet Sawant,Sar Sukhachi Shravani,269935
2023-08-06 09:44,Shreya Ghoshal,Adhir Man Jhale,0
2023-08-06 09:53,Tulsi Kumar,"Tu Laung Main Elaachi (From ""Luka Chuppi"")",497972
2023-08-06 09:53,Darshan Raval,Dil Mera Blast,2983
2023-08-06 09:56,Tulsi Kumar,"Tu Laung Main Elaachi (From ""Luka Chuppi"")",170502
2023-08-06 09:59,Darshan Raval,Dil Mera Blast,189920
2023-08-06 10:03,Tulsi Kumar,"Tu Laung Main Elaachi (From ""Luka Chuppi"")",170502
2023-08-06 10:03,Darshan Raval,Dil Mera Blast,12413
2023-08-06 10:12,Tulsi Kumar,"Tu Laung Main Elaachi (From ""Luka Chuppi"")",507935
2023-08-06 10:12,Darshan Raval,Dil Mera Blast,16530
2023-08-10 02:42,Rekha Bhardwaj,Judaai,272772
2023-08-10 02:43,Darshan Raval,Mujhe Peene Do,8087
2023-08-10 02:48,Ajay-Atul,"Sapna Jahan (From ""Brothers"")",341780
2023-08-10 02:52,Tulsi Kumar,"Tu Laung Main Elaachi (From ""Luka Chuppi"")",168102
2023-08-10 02:59,Ajay Gogavale,Maai Bappa Vithala,451090
2023-08-10 03:00,Harshavardhan Wavre,Dhaga Dhaga Reprised version,20676
2023-08-20 16:11,Shubh,Cheques,182060
2023-08-25 07:28,Axwell /\ Ingrosso,Renegade,191893
2023-08-25 07:31,DJ Snake,Let Me Love You,205946
