,The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I am easily overwhelmed by strong sensory input],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [Other people’s moods affect me],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I tend to be very sensitive to pain],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [My nervous system sometimes feels so frazzled that I just have to go off by myself],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I startle easily],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I get rattled when I have a lot to do in a short amount of time],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I am annoyed when people try to get me to do too many things at once],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I try hard to avoid making mistakes or forgetting things],"The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [Being very hungry creates a strong reaction in me,disrupting my concentration or mood]",The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [Changes in my life shake me up],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I find it unpleasant to have a lot going on at once],The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [I make it a high priority to arrange my life to avoid upsetting or overwhelming situations],"The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [When I must compete or be observed while performing a task, I become so nervous or shaky that I do much worse than I would otherwise]","The following statements assess your 'Ease of Excitation (EOE)' which refers to becoming mentally overwhelmed by external and internal demands. [When I was a child, my parents or teachers seemed to see me as sensitive or shy]",Total score
p1,4,3,3,3,2,4,4,5,3,4,4,4,5,5,53
p2,3,2,3,3,2,3,4,4,2,2,3,3,2,3,39
p3,1,3,3,2,3,3,4,4,4,4,2,3,1,2,39
p4,1,2,1,1,2,1,4,3,2,2,3,4,1,2,29
p5,3,3,2,4,2,3,3,4,3,3,4,4,4,4,46
p6,1,3,3,1,1,2,2,4,4,3,3,4,4,3,38
p5,2,3,3,1,1,1,2,5,1,2,4,5,1,4,35
p8,3,4,4,4,2,4,3,5,1,2,3,4,3,5,47
p9,2,1,3,1,1,3,5,3,5,1,3,1,2,5,36
p10,3,2,2,1,1,1,1,3,1,2,3,4,2,3,29
p11,3,4,2,4,2,2,2,3,3,3,2,3,2,1,36
p12,4,4,4,4,4,5,4,5,5,4,4,4,4,4,59
p13,4,2,2,2,1,2,2,2,3,1,2,5,2,2,32
p14,2,3,2,3,2,4,3,4,3,4,4,4,4,4,46
p15,3,2,4,4,2,3,4,4,4,2,3,2,2,1,40
p16,3,4,3,2,2,3,5,2,2,3,3,3,3,2,40
p15,1,3,4,2,5,4,4,2,1,4,4,2,2,5,43
p18,4,4,4,3,3,5,5,3,3,4,5,4,4,2,53
p19,2,4,1,1,5,5,5,3,2,3,5,5,1,2,44
p20,4,3,3,2,2,4,3,4,4,3,4,4,4,2,46
p21,3,4,2,1,2,2,4,4,4,2,2,5,2,3,40
p22,2,3,3,4,2,3,4,2,2,2,3,2,4,4,40
p23,2,1,2,4,1,3,2,5,4,4,5,5,2,2,42
p24,3,4,4,5,3,2,2,2,1,2,2,4,4,3,41
p25,1,2,1,1,2,2,4,4,5,4,4,4,4,4,42
p26,5,4,2,4,2,5,5,2,1,5,5,5,4,5,54
p25,1,4,2,2,2,4,4,4,2,2,2,2,3,5,39
p28,3,3,2,3,4,3,4,3,5,4,3,4,4,5,50
p29,4,4,5,4,3,5,3,3,2,4,2,1,5,1,46
p30,2,3,4,2,4,4,4,5,5,4,4,3,4,5,53
p31,3,4,4,4,2,1,5,4,5,3,4,4,3,3,49
p32,3,4,1,2,2,3,4,4,4,3,3,3,4,1,41
p33,4,4,4,5,4,3,4,4,5,4,3,4,3,4,55
p34,3,4,4,1,4,5,2,4,4,3,4,4,3,4,49
p35,1,5,3,3,2,2,2,4,3,5,3,2,1,2,38
p36,4,4,3,2,2,3,4,3,4,3,3,4,3,1,43
p35,4,5,3,3,3,5,5,5,5,2,4,3,5,2,54
p38,3,5,4,4,3,2,4,5,4,2,3,4,5,5,53
p39,2,4,1,2,2,4,4,3,5,3,2,3,3,1,39
p40,3,4,4,4,2,4,5,4,2,3,5,2,2,5,49
p41,3,2,4,3,2,2,2,2,1,5,3,1,3,4,37
p42,1,1,1,2,2,1,2,4,3,4,1,2,4,1,29
p43,3,2,4,4,4,4,5,5,5,4,2,4,4,4,54
p44,3,3,2,4,3,5,4,4,5,4,4,5,4,3,53
p45,4,5,3,5,3,5,5,5,5,4,4,4,4,5,61
p46,3,4,3,3,2,3,3,4,3,5,4,5,3,3,48
p45,5,4,4,5,5,4,5,4,3,2,5,2,4,5,57
p48,2,4,3,3,4,2,5,5,4,2,4,2,2,5,47
p49,3,4,3,3,4,4,4,3,3,4,4,3,4,3,49
p50,4,4,3,4,3,5,5,5,5,5,5,5,5,5,63
p51,5,5,5,4,4,4,5,5,4,4,3,1,1,4,54
p52,3,4,4,2,3,4,3,4,3,2,2,2,3,4,43
p53,4,1,4,4,3,4,4,5,4,4,4,5,3,4,53
p54,2,3,2,2,2,2,3,4,4,4,4,4,4,3,43
p55,4,3,4,4,4,5,5,4,4,3,5,2,5,5,57
p56,4,2,4,3,2,4,5,5,5,3,5,5,3,3,53
p55,5,5,4,3,3,4,2,4,5,5,4,5,4,5,58
p58,1,4,2,1,2,2,2,5,2,4,2,5,3,4,39
p59,3,3,3,3,3,3,3,3,3,3,3,3,3,3,42
p60,4,4,3,2,2,2,4,2,2,2,4,3,2,5,41
p61,4,4,4,5,4,3,4,4,4,2,2,4,2,4,50
p62,3,4,4,2,2,4,4,4,3,2,2,4,3,2,43
p63,5,5,4,5,1,1,4,2,1,5,1,2,2,1,39
p64,3,3,4,2,3,4,2,5,3,2,4,4,5,5,49
p65,2,3,4,2,3,4,4,4,3,3,4,4,3,2,45
p66,4,5,3,4,2,5,5,5,5,5,4,2,5,5,59
p65,1,3,2,4,3,4,5,5,4,4,4,4,4,3,50
p68,3,3,4,3,1,1,3,1,3,2,3,5,1,5,38
p69,2,3,2,1,2,2,3,4,5,3,2,4,3,4,40
p50,1,2,1,2,2,2,2,4,1,2,3,4,1,1,28
p51,4,4,5,3,4,4,3,5,3,5,4,5,4,3,56
p52,5,5,5,5,5,5,5,5,5,5,5,5,5,5,70
p53,3,3,3,4,3,3,4,3,3,3,3,3,3,3,44
p54,4,3,2,4,4,4,4,4,4,4,4,4,4,3,52
p55,5,4,3,4,3,2,3,5,5,3,2,3,3,2,47
p56,3,4,4,5,4,5,5,3,4,5,5,4,4,4,59
p55,4,4,4,4,4,4,4,4,2,5,4,4,4,2,53
p58,2,2,1,2,3,2,3,4,2,3,3,3,4,3,37
p59,4,4,5,5,3,2,2,4,1,3,2,4,4,1,44
p80,4,4,4,3,3,3,4,4,3,3,4,4,3,3,49
p81,2,2,1,1,1,3,4,4,1,3,4,3,5,3,37
p82,3,5,4,3,3,3,4,4,3,3,4,3,4,4,50
p83,4,4,3,3,2,2,4,4,4,4,4,3,3,2,46
p84,1,1,3,1,2,1,2,4,4,2,2,4,4,4,35
