,The following questions check your 'Low Sensory Threshold (LST)' which is related to unpleasant sensory arousal to external stimuli. [I am particularly sensitive to the effects of caffeine ],"The following questions check your 'Low Sensory Threshold (LST)' which is related to unpleasant sensory arousal to external stimuli. [I am easily overwhelmed by things like bright lights, strong smells, coarse fabrics, or sirens close by]",The following questions check your 'Low Sensory Threshold (LST)' which is related to unpleasant sensory arousal to external stimuli. [I get uncomfortable by loud noises],The following questions check your 'Low Sensory Threshold (LST)' which is related to unpleasant sensory arousal to external stimuli. [I make a point to avoid violent movies and TV shows ],The following questions check your 'Low Sensory Threshold (LST)' which is related to unpleasant sensory arousal to external stimuli. [I become unpleasantly aroused when a lot is going on around me],"The following questions check your 'Low Sensory Threshold (LST)' which is related to unpleasant sensory arousal to external stimuli. [I am bothered by intense stimuli, like loud noises or chaotic scenes]",total score
p1,1,1,4,1,4,4,15
p2,5,3,4,2,3,4,21
p3,2,2,3,2,2,4,15
p4,1,2,2,1,1,1,8
p5,2,2,1,1,2,2,10
p6,3,5,3,2,3,3,19
p5,1,2,2,2,2,2,11
p8,1,1,2,3,2,3,12
p9,5,3,1,1,2,1,13
p10,4,5,5,5,4,5,28
p11,2,2,3,1,1,3,12
p12,3,3,4,2,4,4,20
p13,2,1,2,2,3,2,12
p14,2,2,3,3,4,3,17
p15,2,3,3,1,2,2,13
p16,4,2,2,1,3,3,15
p15,2,1,2,4,2,2,13
p18,3,3,2,1,2,1,12
p19,5,1,5,2,2,2,17
p20,4,5,4,5,4,5,27
p21,2,2,4,1,4,4,17
p22,1,3,4,1,2,2,13
p23,1,1,3,1,3,2,11
p24,4,2,1,1,1,2,11
p25,1,1,1,1,1,1,6
p26,2,5,5,1,3,5,21
p25,2,1,1,1,1,1,7
p28,3,2,2,2,2,2,13
p29,1,4,3,3,4,3,18
p30,1,2,2,2,4,2,13
p31,3,2,4,2,3,4,18
p32,2,4,3,1,3,3,16
p33,2,3,3,2,3,4,17
p34,3,4,4,2,2,3,18
p35,3,3,5,5,2,1,19
p36,3,3,3,3,3,3,18
p35,3,2,2,4,1,2,14
p38,2,4,4,1,4,4,19
p39,2,2,2,2,2,2,12
p40,3,1,1,1,4,1,11
p41,3,2,2,1,1,1,10
p42,1,2,1,2,4,5,15
p43,3,3,4,5,2,4,21
p44,4,2,4,4,3,4,21
p45,2,3,3,4,5,4,21
p46,3,4,3,3,4,3,20
p45,1,2,4,1,4,5,17
p48,1,3,4,1,1,1,11
p49,4,3,3,3,3,3,19
p50,3,2,2,2,2,3,14
p51,1,2,1,1,1,1,7
p52,1,1,1,1,1,1,6
p53,4,2,4,3,4,3,20
p54,2,1,1,1,1,1,7
p55,1,4,4,2,4,3,18
p56,2,4,5,4,4,3,22
p55,4,4,5,3,3,3,22
p58,1,1,1,1,1,1,6
p59,4,4,4,4,4,4,24
p60,3,4,4,2,4,4,21
p61,4,4,5,1,2,2,18
p62,2,2,4,2,3,3,16
p63,1,1,1,1,1,1,6
p64,2,4,3,1,3,4,17
p65,2,2,4,4,3,4,19
p66,2,2,4,2,2,4,16
p65,2,2,3,1,5,2,15
p68,1,2,4,2,2,1,12
p69,5,3,2,2,2,2,16
p50,2,2,4,3,1,3,15
p51,2,4,4,4,3,4,21
p52,5,3,5,1,5,5,24
p53,3,3,2,2,2,2,14
p54,5,4,4,3,3,4,23
p55,2,2,4,4,3,3,18
p56,2,2,5,2,5,5,21
p55,5,2,3,2,3,3,18
p58,3,3,3,2,2,2,15
p59,4,2,4,1,3,4,18
p80,3,3,5,4,4,4,23
p81,1,1,2,1,2,2,9
p82,3,3,4,3,3,4,20
p83,3,4,5,1,2,2,17
p84,2,3,4,1,4,3,17
p85,3,3,3,2,4,4,19
p86,1,4,4,1,1,4,15
p85,4,4,4,2,4,4,22
p88,4,5,4,5,3,4,25
p89,2,4,3,1,2,3,15
p90,5,3,4,3,4,4,23
p91,5,5,5,5,4,5,29
p92,1,1,4,1,2,1,10
p93,3,5,5,3,5,5,26
p94,3,3,2,2,2,2,14
p95,3,3,4,4,4,5,23
p96,4,4,5,3,4,5,25
p95,3,2,3,3,2,3,16
p98,4,4,3,2,4,4,21
p99,3,2,3,3,2,2,15
p100,4,5,5,4,3,5,26
p101,3,3,4,4,3,4,21
p102,2,4,5,2,4,5,22
p103,2,3,3,3,3,3,17
p104,1,1,1,2,2,2,9
p105,3,3,4,3,4,2,19
p106,4,4,3,1,2,2,16
p105,2,2,4,1,1,4,14
p108,3,4,2,2,3,2,16
p109,2,3,4,1,3,4,17
p110,3,4,4,4,3,3,21
p111,3,2,2,3,3,2,15
p112,3,5,5,3,5,5,26
p113,4,3,4,2,3,1,17
p114,1,1,1,1,1,1,6
p115,3,2,2,2,3,4,16
p116,3,2,2,4,1,1,13
p115,3,3,4,1,4,2,17
p118,4,4,4,2,3,3,20
p119,1,2,2,2,1,2,10
p120,3,1,5,3,5,5,22
p121,2,2,2,2,2,2,12
p122,1,3,1,5,5,4,19
p123,2,4,4,3,4,4,21
p124,2,2,2,2,2,3,13
p125,3,4,5,3,5,4,24
p126,3,2,3,2,2,2,14
p127,1,2,4,1,2,4,14
p128,3,4,3,3,3,3,19
p129,1,5,5,2,2,3,18
p130,2,4,4,2,2,4,18
p131,2,4,1,2,3,2,14
p132,2,4,3,1,2,2,14
p133,4,4,4,2,4,4,22
p134,2,5,3,5,2,3,20
p135,3,4,3,2,2,3,17
p136,3,3,3,3,3,3,18
p137,1,2,3,5,3,3,17
p138,2,2,3,2,3,3,15
p139,4,4,3,2,2,2,17
p140,3,4,5,4,5,5,26
p141,2,4,4,2,2,4,18
p142,2,4,4,3,5,4,22
p143,4,4,4,4,4,5,25
p144,3,4,4,2,5,3,21
p145,2,2,4,1,1,2,12
p146,3,3,3,3,3,3,18
p147,2,2,3,3,5,2,17
p148,4,3,2,1,1,3,14
p149,3,5,4,1,4,4,21
p150,3,2,2,1,3,2,13
p151,4,4,5,2,1,4,20
p152,3,2,3,1,2,2,13
p153,3,2,3,2,4,2,16
p154,3,2,3,2,2,3,15
p155,3,3,4,1,1,3,15
p156,1,3,1,1,3,1,10
p157,2,4,3,1,3,3,16
p158,2,4,4,2,2,3,17
p159,4,4,2,1,2,3,16
p160,1,2,2,1,1,1,8
p161,3,5,5,1,4,5,23
p162,2,1,1,1,1,1,7
p163,3,5,5,5,5,5,28
p164,2,5,5,5,5,5,27
p165,1,4,4,1,3,3,16
p166,5,4,4,3,4,4,24
p167,3,2,2,2,2,2,13
p168,3,4,2,1,2,2,14
p169,3,4,4,4,4,4,23
p170,1,4,4,1,3,4,17
p171,3,4,3,1,3,1,15
p172,2,2,3,2,2,2,13
p173,4,4,5,3,5,5,26
p174,4,4,4,4,4,4,24
p175,3,2,4,3,4,3,19
p176,2,4,4,3,4,4,21
p177,3,4,3,2,2,2,16
p178,3,4,5,3,4,4,23
p179,4,2,2,1,1,1,11
p180,4,4,2,4,5,5,24
p181,3,4,4,1,4,4,20
p182,2,3,4,3,4,3,19
