Person,HSP1,HSP2,HSP3,HSP (sum)
p1,53,21,15,89
p2,39,23,21,83
p3,39,27,15,81
p4,29,27,8,64
p5,46,25,10,81
p6,38,24,19,81
p5,35,28,11,74
p8,47,28,12,87
p9,36,34,13,83
p10,29,25,28,82
p11,36,20,12,68
p12,59,20,20,99
p13,32,29,12,73
p14,46,25,17,88
p15,40,32,13,85
p16,40,27,15,82
p15,43,19,13,75
p18,53,33,12,98
p19,44,27,17,88
p20,46,31,27,104
p21,40,27,17,84
p22,40,24,13,77
p23,42,26,11,79
p24,41,31,11,83
p25,42,21,6,69
p26,54,23,21,98
p25,39,22,7,68
p28,50,26,13,89
p29,46,28,18,92
p30,53,21,13,87
p31,49,26,18,93
p32,41,25,16,82
p33,55,23,17,95
p34,49,26,18,93
p35,38,17,19,74
p36,43,27,18,88
p35,54,29,14,97
p38,53,34,19,106
p39,39,26,12,77
p40,49,24,11,84
p41,37,29,10,76
p42,29,11,15,55
p43,54,27,21,102
p44,53,25,21,99
p45,61,24,21,106
p46,48,26,20,94
p45,57,28,17,102
p48,47,23,11,81
p49,49,26,19,94
p50,63,30,14,107
p51,54,16,7,77
p52,43,24,6,73
p53,53,27,20,100
p54,43,17,7,67
p55,57,28,18,103
p56,53,30,22,105
p55,58,29,22,109
p58,39,32,6,77
p59,42,22,24,88
p60,41,26,21,88
p61,50,29,18,97
p62,43,26,16,85
p63,39,29,6,74
p64,49,28,17,94
p65,45,24,19,88
p66,59,25,16,100
p65,50,17,15,82
p68,38,24,12,74
p69,40,25,16,81
p50,28,27,15,70
p51,56,24,21,101
p52,70,15,24,109
p53,44,30,14,88
p54,52,26,23,101
p55,47,28,18,93
p56,59,31,21,111
p55,53,20,18,91
p58,37,23,15,75
p59,44,32,18,94
p80,49,25,23,97
p81,37,17,9,63
p82,50,27,20,97
p83,46,20,17,83
p84,35,28,17,80
p85,52,24,19,95
p86,52,15,15,82
p85,55,31,22,108
p88,58,30,25,113
p89,28,30,15,73
p90,51,28,23,102
p91,54,31,29,114
p92,39,25,10,74
p93,62,32,26,120
p94,34,15,14,63
p95,57,27,23,107
p96,59,28,25,112
p95,41,14,16,71
p98,57,29,21,107
p99,54,18,15,87
p100,44,26,26,96
p101,44,32,21,97
p102,53,27,22,102
p103,42,22,17,81
p104,17,8,9,34
p105,42,21,19,82
p106,45,28,16,89
p105,49,23,14,86
p108,36,22,16,74
p109,50,27,17,94
p110,33,25,21,79
p111,41,19,15,75
p112,59,27,26,112
p113,39,21,17,77
p114,46,24,6,76
p115,44,16,16,76
p116,36,13,13,62
p115,56,22,17,95
p118,55,25,20,100
p119,36,29,10,75
p120,57,26,22,105
p121,47,21,12,80
p122,63,34,19,116
p123,45,26,21,92
p124,39,27,13,79
p125,46,23,24,93
p126,38,18,14,70
p127,49,28,14,91
p128,48,23,19,90
p129,48,27,18,93
p130,45,20,18,83
p131,40,27,14,81
p132,47,17,14,78
p133,55,20,22,97
p134,48,28,20,96
p135,45,24,17,86
p136,42,21,18,81
p137,43,23,17,83
p138,48,25,15,88
p139,47,26,17,90
p140,60,24,26,110
p141,49,24,18,91
p142,46,17,22,85
p143,53,31,25,109
p144,56,25,21,102
p145,41,17,12,70
p146,42,21,18,81
p147,39,21,17,77
p148,43,26,14,83
p149,58,30,21,109
p150,49,26,13,88
p151,49,27,20,96
p152,35,25,13,73
p153,48,18,16,82
p154,29,19,15,63
p155,24,29,15,68
p156,34,24,10,68
p157,48,25,16,89
p158,51,28,17,96
p159,41,29,16,86
p160,48,20,8,76
p161,56,27,23,106
p162,34,31,7,72
p163,54,32,28,114
p164,54,34,27,115
p165,50,26,16,92
p166,63,25,24,112
p167,41,19,13,73
p168,44,25,14,83
