,Q3,Q4,Q7,Q12,Q13,Q14,Q15,Q18,Q19,TOTAL SCORE
P1,0,1,0,1,4,2,1,1,2,12
P2,3,3,1,1,2,3,3,3,2,21
P3,0,1,1,1,2,1,1,1,3,11
P4,0,1,2,1,4,1,1,0,4,14
P5,2,4,3,2,1,4,3,4,3,26
P6,0,1,3,3,2,1,4,1,3,18
P7,0,1,3,3,0,1,1,1,4,14
P8,2,2,0,1,1,1,1,2,3,13
P9,0,0,0,0,0,0,4,0,0,4
P10,0,1,0,4,1,2,4,0,4,16
P11,2,1,2,2,1,1,1,1,3,14
P12,4,1,0,0,3,2,3,1,2,16
P13,1,3,2,2,3,2,3,1,0,17
P14,1,1,1,1,2,1,2,1,2,12
P15,0,1,2,0,3,2,3,2,2,15
P16,2,1,1,3,2,1,1,1,2,14
P17,1,1,3,3,2,1,4,0,3,18
P18,1,3,2,4,2,3,3,1,3,22
P19,3,4,3,4,4,1,1,2,4,26
P20,1,1,1,1,3,1,3,1,2,14
P21,0,2,1,1,2,2,1,1,3,13
P22,1,1,1,0,2,2,1,1,2,11
P23,0,2,2,3,2,1,4,2,3,19
P24,0,0,0,0,2,0,2,0,1,5
P25,3,2,3,0,3,1,1,0,0,13
P26,4,3,1,1,3,3,4,2,2,23
P27,0,0,3,0,3,1,2,1,3,13
P28,3,2,2,1,2,1,2,1,2,16
P29,1,1,0,1,2,1,2,0,2,10
P30,0,1,0,0,0,1,2,1,1,6
P31,1,3,0,0,3,2,4,1,3,17
P32,1,1,1,0,3,1,1,1,3,12
P33,1,1,2,0,2,1,2,0,3,12
P34,1,0,0,1,2,0,1,0,4,9
P35,0,0,4,1,1,1,3,2,3,15
P36,2,0,0,0,2,3,4,0,2,13
P37,0,1,1,0,1,2,2,2,2,11
P38,1,1,2,0,4,0,0,1,4,13
P39,1,2,1,1,3,1,1,2,2,14
P40,2,0,1,0,3,0,2,0,2,10
P41,1,1,1,1,2,1,1,1,3,12
P42,3,2,0,2,1,2,1,0,2,13
P43,0,1,1,4,3,2,1,0,3,15
P44,2,2,1,3,2,2,1,2,3,18
P45,1,3,4,4,3,3,3,4,2,27
P46,1,0,2,0,2,2,0,1,3,11
P47,0,0,1,0,1,1,2,1,2,8
P48,1,1,4,3,3,1,2,1,3,19
P49,2,1,1,1,1,2,1,1,2,12
P50,0,2,1,0,3,3,2,2,3,16
P51,4,2,3,2,1,2,2,2,0,18
P52,1,1,1,2,2,1,1,1,1,11
P53,3,2,2,1,3,3,2,1,1,18
P54,1,0,0,2,1,0,3,0,2,9
P55,0,2,1,1,3,3,2,1,1,14
P56,2,1,2,1,1,2,4,0,3,16
P57,1,1,2,1,2,0,4,1,1,13
P58,1,3,1,0,2,4,2,2,4,19
P59,0,0,0,3,1,1,1,2,3,11
P60,0,1,1,1,3,1,3,1,3,14
P61,2,1,1,2,3,3,2,2,1,17
P62,1,1,1,2,2,2,1,1,3,14
P63,0,1,0,0,0,0,4,0,4,9
P64,0,2,0,0,3,2,0,0,1,8
P65,1,1,1,4,3,2,2,0,2,16
P66,0,2,1,0,0,1,4,1,1,10
P67,2,4,0,0,3,3,3,2,2,19
P68,2,1,0,1,2,0,3,0,1,10
P69,0,2,1,4,3,3,1,2,3,19
P70,0,0,2,1,3,0,0,0,2,8
P71,2,3,3,1,3,2,1,2,2,19
P72,2,2,0,4,3,2,2,2,2,19
P73,0,2,2,4,2,0,4,1,2,17
P74,0,0,4,2,2,1,1,3,1,14
P75,4,0,2,1,3,0,3,0,3,16
P76,0,1,2,0,2,3,3,2,2,15
P77,2,1,1,1,2,3,3,1,1,15
P78,2,1,2,2,2,2,1,1,3,16
P79,0,2,1,0,1,0,1,0,3,8
P80,2,2,2,3,2,1,4,1,2,19
P81,1,2,1,0,1,2,1,1,2,11
P82,1,1,2,1,2,2,1,1,2,13
P83,2,0,0,0,3,2,4,2,3,16
P84,0,4,3,3,3,2,4,2,4,25
P85,1,1,4,2,4,1,3,0,3,19
P86,2,2,2,1,2,3,2,1,1,16
P87,0,3,1,4,3,4,3,2,2,22
P88,4,1,2,1,4,1,4,1,1,19
P89,1,0,0,0,3,0,1,0,2,7
P90,1,1,1,0,1,1,3,1,1,10
P91,2,2,3,3,3,2,4,0,4,23
P92,1,1,1,1,4,0,3,0,3,14
P93,1,0,1,0,1,0,0,0,3,6
P94,3,0,1,1,3,1,3,1,1,14
P95,0,0,0,0,0,0,3,0,2,5
P96,1,3,3,2,3,2,2,4,4,24
P97,1,3,3,2,2,1,1,1,1,15
P98,1,2,0,1,3,2,2,2,1,14
P99,3,1,4,4,0,0,2,1,0,15
P100,1,1,2,2,3,2,1,1,3,16
P101,2,2,3,3,4,3,3,3,4,27
P102,4,0,0,0,0,0,1,0,1,6
P103,1,1,2,4,2,1,1,1,1,14
P104,1,0,2,2,1,2,1,1,2,12
P105,2,2,0,3,2,1,3,2,2,17
P106,0,1,1,1,1,0,1,0,3,8
P107,1,3,2,3,3,3,1,2,3,21
P108,2,2,1,1,3,2,2,1,3,17
P109,1,2,0,1,3,3,2,3,4,19
P110,0,2,1,3,1,3,2,3,2,17
P111,2,4,4,1,2,4,1,1,1,20
P112,1,1,3,2,2,1,4,2,1,17
P113,3,3,0,0,0,0,3,0,1,10
P114,3,3,1,4,1,0,2,0,4,18
P115,3,3,2,1,2,2,1,2,3,19
P116,3,1,0,0,1,4,1,1,1,12
P117,2,2,1,0,2,1,3,1,2,14
P118,1,0,1,1,1,0,1,0,2,7
P119,1,4,3,1,1,3,3,1,4,21
P120,1,1,1,0,3,3,1,2,1,13
P121,1,1,1,3,3,1,1,1,2,14
P122,0,0,2,0,4,0,0,0,3,9
P123,3,1,2,1,3,1,2,1,2,16
P124,2,1,2,2,3,1,3,1,3,18
P125,1,1,1,1,1,3,2,1,2,13
P126,0,2,1,1,2,2,4,2,3,17
P127,2,2,1,0,0,3,2,1,3,14
P128,0,0,1,0,1,0,1,1,3,7
P129,0,0,3,3,2,0,0,4,1,13
P130,1,3,1,1,2,2,1,3,3,17
P131,0,1,0,3,1,2,0,3,4,14
P132,1,2,3,4,3,2,2,2,2,21
P133,1,2,2,1,1,3,3,1,2,16
P134,1,3,1,1,1,3,3,3,3,18
P135,2,1,2,1,1,2,2,3,2,16
P136,2,3,3,2,2,2,2,2,2,20
P137,1,2,1,1,2,1,1,2,3,14
P138,2,2,0,3,3,1,2,2,4,19
P139,2,2,3,1,1,4,1,3,4,21
P140,2,3,0,2,0,2,1,2,4,16
P141,0,4,0,2,1,2,0,3,3,15
P142,2,1,3,0,1,4,4,1,1,17
P143,2,3,2,1,1,3,1,2,2,17
P144,1,2,2,1,2,1,1,2,2,14
P145,0,3,2,4,4,3,2,2,2,22
P146,0,1,2,2,0,2,0,4,4,15
P147,1,2,2,1,3,1,4,1,4,19
P148,0,4,2,0,0,2,2,3,3,16
P149,0,1,0,1,0,2,2,3,3,12
P150,0,2,1,1,1,2,2,2,2,13
P151,3,2,3,1,2,3,1,1,2,18
P152,2,1,1,1,0,1,2,3,3,14
P153,2,3,4,2,1,3,2,4,4,25
P154,3,3,3,3,1,3,1,3,1,21
P155,1,1,1,2,2,2,1,4,4,18
P156,0,4,3,0,4,3,0,4,4,22
P157,1,0,0,2,0,4,4,3,4,18
P158,1,2,1,1,2,4,2,3,3,19
P159,1,3,3,1,0,1,0,4,4,17
P160,3,1,3,2,0,3,0,4,4,20
P161,0,0,1,0,0,4,2,1,4,12
P162,1,2,2,3,1,4,0,4,4,21
P163,1,0,3,0,1,3,3,3,3,17
P164,4,0,4,4,4,0,4,4,0,24
P165,4,0,1,4,3,0,4,1,0,17
P166,2,2,3,2,2,1,3,1,0,16
P167,3,1,3,2,3,3,4,1,1,21
P168,3,1,3,2,2,2,3,1,1,18
P169,4,2,3,3,1,4,3,0,1,21
P170,3,3,1,3,1,3,4,0,0,18
P171,4,1,4,4,4,1,2,2,1,23
P172,2,1,2,3,4,2,2,1,1,18
P173,3,0,2,0,1,3,3,1,1,14
P174,3,3,1,3,2,3,3,1,1,20
P175,2,3,1,1,3,3,2,3,2,20
P176,3,3,3,1,2,3,3,2,0,20
P177,3,2,3,3,3,3,2,2,2,23
P178,1,4,3,2,3,1,3,1,1,19
P179,3,4,4,2,2,2,3,3,2,25
P180,4,3,2,4,4,2,4,1,1,25
P181,3,2,3,4,4,3,3,2,1,25
P182,3,2,3,4,2,3,3,4,3,27
