,Q2,Q4,Q9,Q14,Q18,Q20,Q22,
P1,0,1,0,2,1,0,2,6
P2,2,3,2,3,3,3,1,17
P3,0,1,2,1,1,1,2,8
P4,0,1,2,1,0,0,0,4
P5,0,4,2,4,4,2,1,17
P6,1,1,2,1,1,1,0,7
P7,0,1,3,1,1,0,2,8
P8,2,2,1,1,2,2,3,13
P9,0,0,4,0,0,0,0,4
P10,1,1,0,2,0,0,0,4
P11,1,1,0,1,1,0,2,6
P12,0,1,1,2,1,2,2,9
P13,0,3,3,2,1,1,3,13
P14,1,1,1,1,1,1,1,7
P15,0,1,0,2,2,1,1,7
P16,2,1,4,1,1,3,2,14
P17,2,1,2,1,0,0,3,9
P18,3,3,0,3,1,2,1,13
P19,1,4,1,1,2,4,3,16
P20,1,1,3,1,1,0,2,9
P21,1,2,2,2,1,1,0,9
P22,2,1,0,2,1,1,2,9
P23,1,2,0,1,2,3,2,11
P24,0,0,1,0,0,0,0,1
P25,1,2,0,1,0,2,2,8
P26,2,3,0,3,2,3,2,15
P27,1,0,0,1,1,0,2,5
P28,1,2,3,1,1,2,1,11
P29,1,1,0,1,0,1,0,4
P30,1,1,0,1,1,1,0,5
P31,2,3,0,2,1,2,1,11
P32,1,1,1,1,1,3,2,10
P33,0,1,0,1,0,0,1,3
P34,2,0,2,0,0,1,0,5
P35,4,0,3,1,2,4,2,16
P36,1,0,1,3,0,0,2,7
P37,1,1,1,2,2,1,1,9
P38,0,1,0,0,1,0,0,2
P39,1,2,1,1,2,1,2,10
P40,0,0,0,0,0,0,2,2
P41,1,1,0,1,1,0,0,4
P42,2,2,3,2,0,2,3,14
P43,0,1,1,2,0,2,1,7
P44,2,2,0,2,2,2,2,12
P45,0,3,0,3,4,1,1,12
P46,0,0,1,2,1,2,1,7
P47,0,0,1,1,1,0,1,4
P48,1,1,3,1,1,1,2,10
P49,2,1,2,2,1,2,3,13
P50,2,2,0,3,2,1,3,13
P51,2,2,1,2,2,2,2,13
P52,2,1,1,1,1,0,2,8
P53,3,2,1,3,1,4,1,15
P54,3,0,1,0,0,2,3,9
P55,0,2,0,3,1,1,2,9
P56,1,1,3,2,0,0,1,8
P57,1,1,1,0,1,0,1,5
P58,2,3,0,4,2,0,0,11
P59,0,0,0,1,2,1,2,6
P60,0,1,1,1,1,3,1,8
P61,1,1,1,3,2,1,1,10
P62,2,1,1,2,1,2,2,11
P63,0,1,1,0,0,0,0,2
P64,3,2,0,2,0,3,0,10
P65,2,1,1,2,0,1,0,7
P66,2,2,4,1,1,0,2,12
P67,0,4,0,3,2,3,3,15
P68,3,1,0,0,0,2,2,8
P69,1,2,3,3,2,3,3,17
P70,0,0,3,0,0,3,2,8
P71,2,3,2,2,2,2,1,14
P72,2,2,0,2,2,2,2,12
P73,2,2,2,0,1,1,2,10
P74,1,0,0,1,3,1,0,6
P75,1,0,1,0,0,0,1,3
P76,1,1,3,3,2,1,1,12
P77,3,1,0,3,1,1,1,10
P78,1,1,1,2,1,1,2,9
P79,0,2,2,0,0,0,0,4
P80,1,2,1,1,1,1,1,8
P81,1,2,0,2,1,3,3,12
P82,3,1,0,2,1,1,1,9
P83,2,0,0,2,2,4,3,13
P84,0,4,0,2,2,0,0,8
P85,3,1,3,1,0,0,2,10
P86,3,2,3,3,1,3,1,16
P87,0,3,1,4,2,1,2,13
P88,2,1,0,1,1,1,1,7
P89,1,0,0,0,0,2,2,5
P90,2,1,2,1,1,1,2,10
P91,1,2,4,2,0,2,3,14
P92,0,1,0,0,0,1,4,6
P93,2,0,0,0,0,0,0,2
P94,0,0,4,1,1,1,0,7
P95,0,0,0,0,0,0,0,0
P96,1,3,1,2,4,1,2,14
P97,1,3,2,1,1,1,2,11
P98,1,2,0,2,2,2,1,10
P99,3,1,1,0,1,3,3,12
P100,1,1,1,2,1,0,1,7
P101,0,2,0,3,3,2,1,11
P102,2,0,0,0,0,1,1,4
P103,2,1,0,1,1,2,2,9
P104,3,0,3,2,1,4,2,15
P105,0,2,0,1,2,1,1,7
P106,1,1,0,0,0,2,1,5
P107,1,3,0,3,2,2,3,14
P108,1,2,0,2,1,2,1,9
P109,4,2,0,3,3,2,1,15
P110,3,2,3,3,3,2,2,18
P111,2,4,3,4,1,0,2,16
P112,0,1,1,1,2,1,1,7
P113,3,3,1,0,0,2,0,9
P114,2,3,0,0,0,1,2,8
P115,1,3,2,2,2,3,3,16
P116,2,1,1,4,1,1,2,12
P117,1,2,1,1,1,3,4,13
P118,1,0,1,0,0,1,1,4
P119,1,4,1,3,1,1,1,12
P120,0,1,0,3,2,2,2,10
P121,0,1,0,1,1,2,2,7
P122,0,0,0,0,0,0,0,0
P123,1,1,1,1,1,1,2,8
P124,2,1,1,1,1,1,1,8
P125,1,1,3,3,1,1,2,12
P126,1,2,0,2,2,1,3,11
P127,1,2,4,3,1,2,2,15
P128,4,0,4,0,1,1,3,13
P129,4,0,3,0,4,3,1,15
P130,3,3,3,2,3,3,3,20
P131,2,1,4,2,3,3,2,17
P132,3,2,0,2,2,1,1,11
P133,3,2,3,3,1,3,2,17
P134,3,3,3,3,3,3,1,19
P135,1,1,3,2,3,2,2,14
P136,1,3,1,2,2,2,2,13
P137,2,2,3,1,2,3,2,15
P138,1,2,0,1,2,2,3,11
P139,2,2,3,4,3,2,1,17
P140,3,3,2,2,2,3,2,17
P141,4,4,1,2,3,3,1,18
P142,3,1,2,4,1,0,0,11
P143,3,3,3,3,2,3,1,18
P144,2,2,0,1,2,3,4,14
P145,4,3,2,3,2,1,2,17
P146,4,1,4,2,4,4,4,23
