,Q6,Q10,Q13,Q17,Q19,Q24,Q27,
p1,2,2,4,1,2,2,1,14
p2,1,1,2,1,2,2,3,12
p3,0,2,2,1,3,2,3,13
p4,0,2,4,1,4,4,4,19
p5,4,2,1,2,3,1,2,15
p6,0,2,2,1,3,3,3,14
p7,0,3,0,3,4,4,4,18
p8,2,2,1,3,3,2,3,16
p9,0,0,0,0,0,4,4,8
p10,0,0,1,0,4,4,4,13
p11,1,2,1,1,3,2,3,13
p12,4,0,3,1,2,1,1,12
p13,1,2,3,1,0,3,4,14
p14,2,1,2,1,2,2,2,12
p15,2,2,3,1,2,2,4,16
p16,2,4,2,2,2,2,3,17
p17,1,3,2,1,3,3,3,16
p18,4,1,2,0,3,2,3,15
p19,0,4,4,1,4,3,4,20
p20,0,2,3,2,2,1,2,12
p21,1,0,2,0,3,4,3,13
p22,2,0,2,1,2,1,3,11
p23,2,3,2,1,3,3,3,17
p24,0,0,2,0,1,3,2,8
p25,1,2,3,0,0,3,4,13
p26,4,0,3,1,2,1,3,14
p27,1,1,3,0,3,4,4,16
p28,2,4,2,4,2,3,3,20
p29,1,0,2,0,2,2,2,9
p30,0,1,0,1,1,1,1,5
p31,2,0,3,0,3,3,3,14
p32,2,3,3,1,3,3,3,18
p33,1,0,2,0,3,1,3,10
p34,1,1,2,2,4,2,4,16
p35,2,1,1,0,3,1,0,8
p36,3,0,2,2,2,4,3,16
p37,1,0,1,1,2,1,2,8
p38,0,0,4,1,4,3,3,15
p39,2,2,3,1,2,3,3,16
p40,0,0,3,0,2,2,4,11
p41,2,2,2,4,3,3,2,18
p42,4,1,1,0,2,0,0,8
p43,1,0,3,0,3,2,4,13
p44,3,0,2,0,3,2,4,14
p45,1,1,3,1,2,4,3,15
p46,0,2,2,2,3,2,3,14
p47,4,0,1,1,2,1,1,10
p48,2,3,3,2,3,3,3,19
p49,2,2,1,2,2,2,2,13
p50,3,0,3,0,3,1,3,13
p51,2,2,1,2,0,3,4,14
p52,2,4,2,4,1,1,2,16
p53,3,2,3,0,1,2,1,12
p54,3,3,1,4,2,4,3,20
p55,3,0,3,0,1,0,0,7
p56,1,2,1,1,3,3,4,15
p57,1,1,2,2,1,2,1,10
p58,3,0,2,0,4,1,4,14
p59,2,1,1,1,3,3,3,14
p60,3,2,3,0,3,1,3,15
p61,2,2,3,2,1,3,1,14
