,Q3,Q8,Q11,Q15,Q21,Q25,Q28,
P1,0,4,1,1,2,2,2,12
P2,3,1,1,3,3,2,2,15
P3,0,0,1,1,1,1,4,8
P4,0,1,1,1,1,3,4,11
P5,2,4,1,3,1,3,2,16
P6,0,1,1,4,0,3,2,11
P7,0,0,3,1,0,1,0,5
P8,2,2,2,1,1,0,4,12
P9,0,0,4,4,1,2,3,14
P10,0,1,1,4,0,4,4,14
P11,2,1,2,1,1,0,3,10
P12,4,2,0,3,0,1,0,10
P13,1,1,1,3,1,2,4,13
P14,1,1,1,2,2,1,2,10
P15,0,1,1,3,1,2,4,12
P16,2,3,3,1,2,3,3,17
P17,1,0,3,4,1,3,3,15
P18,1,4,4,3,2,1,4,19
P19,3,4,4,1,2,4,4,22
P20,1,3,1,3,1,1,2,12
P21,0,1,0,1,1,3,3,9
P22,1,1,4,1,2,1,3,13
P23,0,3,1,4,0,3,3,14
P24,0,1,0,2,0,0,3,6
P25,3,2,2,1,0,4,0,12
P26,4,1,2,4,3,2,3,19
P27,0,1,2,2,0,3,4,12
P28,3,2,4,2,1,3,2,17
P29,1,1,1,2,0,0,3,8
P30,0,1,3,2,1,1,2,10
P31,1,1,1,4,2,2,4,15
P32,1,2,2,1,1,3,3,13
P33,1,3,0,2,1,0,3,10
P34,1,0,2,1,1,1,4,10
P35,0,1,2,3,4,3,0,13
P36,2,1,1,4,1,2,2,13
P37,0,2,1,2,1,0,2,8
P38,1,0,0,0,0,3,3,7
P39,1,2,1,1,0,2,1,8
P40,2,1,0,2,0,0,3,8
P41,1,1,2,1,0,1,3,9
P42,3,2,1,1,4,4,0,15
P43,0,0,0,1,0,0,1,2
P44,2,2,0,1,2,4,4,15
P45,1,0,1,3,2,3,0,10
P46,1,0,1,0,3,1,3,9
P47,0,3,1,2,1,0,1,8
P48,1,4,2,2,1,1,3,14
P49,2,3,3,1,2,3,2,16
P50,0,1,0,2,2,2,3,10
P51,4,2,1,2,2,3,4,18
P52,1,1,1,1,0,1,3,8
P53,3,3,1,2,1,0,2,12
P54,1,3,4,3,2,3,2,18
P55,0,0,0,2,0,1,3,6
P56,2,1,2,4,1,3,2,15
P57,1,1,1,4,0,1,2,10
P58,1,3,1,2,0,1,4,12
P59,0,1,1,1,3,2,4,12
P60,0,3,1,3,1,1,3,12
P61,2,1,3,2,1,3,2,14
P62,1,3,1,1,2,1,3,12
P63,0,2,0,4,0,0,4,10
P64,0,1,4,0,2,3,1,11
P65,1,0,0,2,0,1,1,5
P66,0,4,0,4,0,0,1,9
P67,2,4,0,3,1,0,4,14
P68,2,1,0,3,1,2,3,12
P69,0,1,4,1,2,3,3,14
P70,0,0,4,0,1,3,4,12
P71,2,1,4,1,2,1,3,14
P72,2,2,0,2,2,1,0,9
P73,0,2,3,4,0,1,3,13
P74,0,0,0,1,2,1,1,5
P75,4,0,2,3,0,2,1,12
P76,0,1,2,3,2,2,2,12
P77,2,2,1,3,3,1,2,14
P78,2,2,2,1,2,3,4,16
P79,0,0,0,1,0,2,0,3
P80,2,1,4,4,2,2,3,18
P81,1,4,0,1,1,2,4,13
P82,1,1,3,1,2,2,2,12
P83,2,3,1,4,0,3,2,15
P84,0,1,3,4,2,4,4,18
P85,1,2,2,3,1,0,4,13
P86,2,1,2,2,1,1,2,11
P87,0,2,1,3,2,0,3,11
P88,4,1,0,4,3,0,3,15
P89,1,0,3,1,0,3,4,12
P90,1,3,0,3,1,1,2,11
P91,2,3,3,4,1,2,1,16
P92,1,2,0,3,0,4,4,14
P93,1,3,1,0,1,0,1,7
P94,3,0,1,3,1,1,3,12
P95,0,0,0,3,0,0,2,5
P96,1,0,0,2,1,2,0,6
P97,1,2,3,1,2,2,3,14
P98,1,3,1,2,1,0,2,10
P99,3,1,1,2,2,3,3,15
P100,1,1,1,1,1,1,1,7
P101,2,1,1,3,1,1,0,9
P102,4,1,0,1,1,0,2,9
P103,1,2,0,1,2,2,3,11
P104,1,2,2,1,3,2,2,13
P105,2,1,3,3,2,2,2,15
P106,0,1,0,1,2,3,3,10
P107,1,3,3,1,3,1,3,15
P108,2,3,1,2,0,2,1,11
P109,1,1,0,2,1,1,1,7
P110,0,2,1,2,2,1,2,10
P111,2,3,3,1,3,3,3,18
P112,1,1,2,4,1,1,1,11
P113,3,3,2,3,0,0,4,15
P114,3,0,1,2,1,4,2,13
P115,3,3,2,1,1,1,3,14
P116,3,3,2,1,2,3,4,18
P117,2,2,0,3,2,2,3,14
P118,1,1,1,1,1,1,3,9
P119,1,2,1,3,0,3,3,13
P120,1,1,0,1,1,1,2,7
P121,1,1,1,1,1,2,3,10
P122,0,0,3,0,0,1,4,8
P123,3,1,2,2,2,2,3,15
P124,2,3,1,3,1,2,3,15
P125,1,0,1,2,3,2,4,13
P126,0,3,3,4,2,0,4,16
P127,2,4,4,2,3,3,1,19
P128,0,3,4,1,4,2,2,16
P129,0,1,1,0,1,3,1,7
P130,1,3,2,1,3,2,1,13
P131,0,3,1,0,3,3,2,12
P132,1,1,1,2,1,1,1,8
P133,1,3,3,3,3,3,1,17
P134,1,3,3,3,3,2,4,18
P135,2,3,3,2,2,2,1,15
P136,2,2,1,2,2,2,2,13
P137,1,3,1,1,3,2,1,12
P138,2,2,0,2,3,4,1,14
P139,2,3,3,1,2,1,1,13
P140,2,4,2,1,2,3,2,16
P141,0,3,3,0,3,2,3,14
P142,2,0,4,4,0,0,2,12
P143,2,1,3,1,3,3,3,16
P144,1,3,3,1,4,4,4,20
P145,0,3,0,2,1,1,2,9
P146,0,4,4,0,4,2,4,18
P147,1,4,0,4,1,3,3,16
P148,0,4,4,2,4,2,2,18
P149,0,3,3,2,3,4,4,19
