,Q1,Q2,Q5,Q6,Q8,Q9,Q10,Q11,Q16,Q17,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,TOTAL
P1,1,0,2,2,4,0,2,1,1,1,0,2,2,2,2,2,2,1,2,29
P2,2,2,2,1,1,2,1,1,1,1,3,3,1,2,2,2,3,3,2,35
P3,0,0,0,0,0,2,2,1,1,1,1,1,2,1,2,1,2,3,4,24
P4,0,0,1,0,1,2,2,1,1,1,0,1,0,2,4,3,4,4,4,31
P5,4,0,3,4,4,2,2,1,1,2,2,1,1,0,1,3,2,2,2,37
P6,1,1,1,0,1,2,2,1,1,1,1,0,0,0,3,3,1,3,2,24
P7,0,0,1,0,0,3,3,3,3,3,0,0,2,3,4,1,1,4,0,31
P8,1,2,1,2,2,1,2,2,3,3,2,1,3,1,2,0,1,3,4,36
P9,0,0,0,0,0,4,0,4,4,0,0,1,0,2,4,2,4,4,3,32
P10,1,1,0,0,1,0,0,1,0,0,0,0,0,1,4,4,3,4,4,24
P11,1,1,1,1,1,0,2,2,1,1,0,1,2,1,2,0,1,3,3,24
P12,2,0,1,4,2,1,0,0,0,1,2,0,2,1,1,1,0,1,0,19
P13,1,0,0,1,1,3,2,1,1,1,1,1,3,3,3,2,4,4,4,36
P14,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,25
P15,3,0,0,2,1,0,2,1,1,1,1,1,1,2,2,2,2,4,4,30
P16,3,2,3,2,3,4,4,3,3,2,3,2,2,1,2,3,2,3,3,50
P17,2,2,3,1,0,2,3,3,2,1,0,1,3,2,3,3,3,3,3,40
P18,2,3,2,4,4,0,1,4,2,0,2,2,1,3,2,1,3,3,4,43
P19,1,1,0,0,4,1,4,4,4,1,4,2,3,3,3,4,2,4,4,49
P20,2,1,1,0,3,3,2,1,1,2,0,1,2,1,1,1,1,2,2,27
P21,1,1,0,1,1,2,0,0,0,0,1,1,0,3,4,3,4,3,3,28
P22,0,2,1,2,1,0,0,4,3,1,1,2,2,3,1,1,1,3,3,31
P23,1,1,2,2,3,0,3,1,2,1,3,0,2,0,3,3,2,3,3,35
P24,0,0,0,0,1,1,0,0,2,0,0,0,0,1,3,0,1,2,3,14
P25,0,1,1,1,2,0,2,2,2,0,2,0,2,2,3,4,4,4,0,32
P26,3,2,3,4,1,0,0,2,0,1,3,3,2,4,1,2,0,3,3,37
P27,1,1,2,1,1,0,1,2,1,0,0,0,2,2,4,3,3,4,4,32
P28,2,1,1,2,2,3,4,4,4,4,2,1,1,1,3,3,2,3,2,45
P29,1,1,1,1,1,0,0,1,2,0,1,0,0,0,2,0,0,2,3,16
P30,0,1,1,0,1,0,1,3,4,1,1,1,0,0,1,1,2,1,2,21
P31,1,2,1,2,1,0,0,1,2,0,2,2,1,2,3,2,2,3,4,31
P32,1,1,1,2,2,1,3,2,2,1,3,1,2,3,3,3,1,3,3,38
P33,0,0,2,1,3,0,0,0,1,0,0,1,1,0,1,0,1,3,3,17
P34,0,2,0,1,0,2,1,2,3,2,1,1,0,0,2,1,2,4,4,28
P35,2,4,2,2,1,3,1,2,2,0,4,4,2,2,1,3,3,0,0,38
P36,2,1,1,3,1,1,0,1,1,2,0,1,2,1,4,2,2,3,2,30
P37,1,1,1,1,2,1,0,1,1,1,1,1,1,2,1,0,1,2,2,21
P38,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,3,3,3,17
P39,1,1,1,2,2,1,2,1,1,1,1,0,2,2,3,2,2,3,1,29
P40,0,0,1,0,1,0,0,0,2,0,0,0,2,0,2,0,1,4,3,16
P41,1,1,2,2,1,0,2,2,3,4,0,0,0,1,3,1,3,2,3,31
P42,3,2,4,4,2,3,1,1,3,0,2,4,3,0,0,4,3,0,0,39
P43,0,0,0,1,0,1,0,0,0,0,2,0,1,0,2,0,1,4,1,13
P44,2,2,3,3,2,0,0,0,1,0,2,2,2,3,2,4,0,4,4,36
P45,0,0,0,1,0,0,1,1,1,1,1,2,1,1,4,3,3,3,0,23
P46,0,0,0,0,0,1,2,1,2,2,2,3,1,1,2,1,1,3,3,25
P47,1,0,0,4,3,1,0,1,1,1,0,1,1,0,1,0,0,1,1,17
P48,1,1,0,2,4,3,3,2,2,2,1,1,2,3,3,1,1,3,3,38
P49,3,2,3,2,3,2,2,3,1,2,2,2,3,2,2,3,2,2,2,43
P50,2,2,1,3,1,0,0,0,1,0,1,2,3,3,1,2,3,3,3,31
P51,1,2,1,2,2,1,2,1,2,2,2,2,2,1,3,3,3,4,4,40
P52,1,2,1,2,1,1,4,1,1,4,0,0,2,1,1,1,3,2,3,31
P53,3,3,3,3,3,1,2,1,1,0,4,1,1,1,2,0,1,1,2,33
P54,3,3,3,3,3,1,3,4,4,4,2,2,3,3,4,3,1,3,2,54
P55,0,0,0,3,0,0,0,0,0,0,1,0,2,1,0,1,0,0,3,11
P56,2,1,2,1,1,3,2,2,2,1,0,1,1,2,3,3,3,4,2,36
P57,0,1,1,1,1,1,1,1,1,2,0,0,1,0,2,1,2,1,2,19
P58,1,2,0,3,3,0,0,1,0,0,0,0,0,0,1,1,4,4,4,24
P59,0,0,1,2,1,0,1,1,1,1,1,3,2,2,3,2,1,3,4,29
P60,0,0,1,3,3,1,2,1,1,0,3,1,1,1,1,1,2,3,3,28
P61,0,1,1,2,1,1,2,3,2,2,1,1,1,1,3,3,1,1,2,29
P62,1,2,2,2,3,1,1,1,1,1,2,2,2,2,1,1,1,3,3,32
P63,0,0,2,0,2,1,0,0,0,0,0,0,0,4,4,0,0,4,4,21
P64,4,3,4,3,1,0,2,4,4,3,3,2,0,0,1,3,2,2,1,42
P65,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,1,3,3,1,15
P66,1,2,2,3,4,4,1,0,0,1,0,0,2,0,0,0,4,1,1,26
P67,0,0,2,4,4,0,0,0,0,0,3,1,3,3,2,0,2,3,4,31
P68,3,3,2,2,1,0,0,0,0,0,2,1,2,0,3,2,1,2,3,27
P69,1,1,0,1,1,3,3,4,2,4,3,2,3,2,2,3,3,3,3,44
