,"[In most ways, my life is close to my ideal]",[The conditions of my life are excellent],[I am satisfied with my life],[So far I have gotten the important things that I want in my life],"[If I could live my life over, I would change almost nothing]",Total score
p1,1,1,1,1,1,5
p2,3,3,1,1,1,9
p3,6,7,7,6,2,28
p4,5,6,6,6,7,30
p5,2,1,2,2,2,9
p6,6,6,6,6,6,30
p7,3,3,5,7,4,22
p8,6,5,5,7,7,30
p9,5,6,6,7,5,29
p10,3,4,3,2,4,16
p11,1,3,5,1,1,11
p12,4,6,6,6,4,26
p13,7,7,7,7,7,35
p14,5,4,3,4,3,19
p15,3,6,6,5,6,26
p16,6,5,5,6,5,27
p17,1,6,1,2,1,11
p18,2,4,1,2,1,10
p19,7,6,5,7,7,32
p20,2,2,2,3,1,10
p21,5,4,6,7,3,25
p22,2,4,3,3,1,13
p23,1,1,3,1,1,7
p24,1,1,4,4,5,15
p25,5,6,6,6,1,24
p26,4,4,5,5,2,20
p27,5,5,4,4,2,20
p28,2,4,3,3,2,14
p29,2,4,1,2,1,10
p30,2,3,1,2,4,12
p31,5,7,5,7,7,31
p32,4,4,4,4,3,19
p33,4,5,5,6,7,27
p34,4,4,6,5,4,23
p35,2,4,4,7,5,22
p36,2,5,5,4,1,17
p37,3,3,5,3,2,16
p38,2,5,4,3,5,19
p39,5,5,3,2,2,17
p40,2,3,5,2,3,15
p41,1,1,2,2,2,8
p42,1,4,5,2,4,16
p43,6,6,7,6,7,32
p44,3,3,3,3,1,13
p45,2,2,3,5,3,15
p46,6,6,6,5,5,28
p47,4,3,2,1,1,11
p48,6,5,3,3,1,18
p49,6,5,6,6,6,29
p50,2,5,2,2,1,12
p51,1,2,1,1,1,6
p52,4,4,4,4,3,19
p53,3,7,6,4,3,23
p54,2,2,1,2,1,8
p55,1,6,2,4,2,15
p56,4,6,7,5,7,29
p57,5,5,6,7,5,28
p58,5,7,4,5,3,24
p59,4,4,4,4,3,19
p60,5,5,5,3,4,22
p61,6,6,7,5,2,26
p62,4,4,5,5,1,19
p63,1,1,1,1,1,5
p64,4,5,6,7,1,23
p65,3,3,3,3,2,14
p66,2,3,6,6,3,20
p67,1,1,1,1,1,5
p68,3,6,6,5,6,26
p69,6,6,5,2,2,21
p70,3,3,3,3,2,14
p71,5,5,5,6,2,23
p72,1,1,1,1,1,5
p73,2,2,1,4,3,12
p74,1,3,3,5,7,19
p75,6,5,7,6,2,26
p76,2,2,2,5,1,12
p77,2,6,5,5,2,20
p78,4,4,3,2,3,16
p79,1,2,1,7,2,13
p80,3,3,3,5,2,16
p81,3,6,4,2,1,16
p82,3,5,4,3,2,17
p83,5,4,5,3,4,21
p84,1,1,1,1,7,11
p85,2,4,1,3,2,12
p86,1,1,2,2,1,7
p87,6,7,7,6,2,28
p88,4,3,2,5,1,15
p89,5,5,5,7,7,29
p90,1,5,2,1,1,10
p91,3,2,4,5,1,15
p92,1,1,1,1,2,6
p93,2,2,3,5,2,14
p94,1,3,1,2,1,8
p95,5,2,2,4,3,16
p96,4,5,6,5,5,25
p97,2,4,3,3,4,16
p98,4,4,6,5,3,22
p99,2,2,2,2,2,10
p100,2,5,5,5,3,20
p101,6,4,6,6,1,23
p102,3,4,5,3,1,16
p103,1,3,1,2,1,8
p104,1,2,2,2,1,8
