,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Total Score
P1,5,2,1,1,5,5,1,2,5,2,29
P2,3,2,4,2,4,4,3,3,4,3,32
P3,2,2,1,3,1,1,1,3,1,3,18
P4,2,2,1,1,1,1,2,1,1,1,13
P5,5,5,5,5,5,5,5,5,5,5,50
P6,1,1,1,1,1,2,1,2,1,1,12
P7,2,2,3,4,1,2,2,4,4,1,25
P8,4,4,5,2,1,3,2,4,1,2,28
P9,1,1,1,1,1,1,1,1,1,1,10
P10,3,2,2,2,1,1,1,2,2,2,18
P11,2,4,3,3,2,1,2,2,2,3,24
P12,4,5,3,4,3,3,1,2,2,3,30
P13,3,2,1,1,1,2,1,2,1,1,15
P14,4,4,4,4,1,4,4,4,4,4,37
P15,2,1,1,2,1,1,1,2,1,1,13
P16,1,1,1,1,1,2,1,1,1,2,12
P17,4,2,4,3,1,3,2,3,3,1,26
P18,3,2,1,1,4,4,1,1,1,1,19
P19,4,5,1,4,5,5,1,4,4,1,34
P20,4,3,2,1,1,3,1,1,2,1,19
P21,2,2,2,2,2,2,1,1,1,2,17
P22,2,2,2,2,1,2,2,2,2,2,19
P23,3,2,1,3,1,1,1,1,2,1,16
P24,4,4,2,3,1,1,1,4,2,4,26
P25,1,2,2,1,1,1,1,2,2,1,14
P26,3,3,3,2,3,4,3,4,5,2,32
P27,5,2,3,2,1,2,1,2,1,2,21
P28,3,4,2,3,1,1,1,2,4,3,24
P29,4,4,3,4,2,2,4,4,5,3,35
P30,2,2,5,3,1,2,4,3,1,3,26
P31,1,1,1,1,2,2,1,2,2,2,15
P32,3,2,1,2,1,1,1,4,4,2,21
P33,3,3,2,1,1,3,3,2,1,1,20
P34,2,2,1,1,1,1,1,1,1,1,12
P35,4,2,2,2,2,4,4,4,4,3,31
P36,3,2,1,1,1,2,1,1,2,2,16
P37,1,4,2,2,4,4,2,2,2,2,25
P38,5,5,1,3,4,5,2,3,3,3,34
P39,4,3,3,4,3,4,3,4,3,4,35
P40,2,2,2,2,2,1,1,2,2,1,17
P41,4,4,3,3,1,4,1,2,1,2,25
P42,3,3,3,3,3,3,3,3,3,3,30
P43,2,2,1,1,1,2,1,2,1,1,14
P44,1,2,1,1,1,1,2,2,1,1,13
P45,2,5,4,5,2,3,5,4,3,5,38
P46,2,2,2,1,1,1,3,1,1,1,15
P47,4,4,1,3,1,5,1,5,5,1,30
P48,1,2,1,1,1,1,1,1,1,1,11
P49,3,3,3,3,3,3,3,3,3,3,30
P50,3,3,4,1,1,4,4,4,2,1,27
P51,5,5,5,5,5,5,2,5,5,3,45
P52,2,2,2,3,1,4,1,3,1,3,22
P53,2,1,3,3,2,3,4,2,2,3,25
P54,2,3,2,3,3,3,2,3,3,3,27
P55,3,4,4,4,1,4,3,4,3,4,34
P56,2,4,1,1,1,1,1,2,1,1,15
P57,4,2,1,1,1,1,1,2,1,1,15
P58,2,2,2,4,1,3,4,4,4,4,30
P59,1,1,1,1,1,1,1,2,1,1,11
P60,4,2,1,1,1,3,2,4,3,2,23
P61,4,2,1,2,3,2,1,4,1,3,23
P62,2,3,3,2,1,4,3,2,2,2,24
P63,4,5,5,5,2,1,4,1,1,3,31
P64,1,2,1,2,2,1,1,2,1,1,14
P65,2,3,1,1,1,2,2,1,1,2,16
P66,2,2,3,1,1,3,1,3,2,1,19
P67,2,4,1,1,4,5,3,4,3,1,28
P68,1,1,1,1,1,1,1,2,1,1,11
P69,2,2,1,1,1,1,1,2,1,1,13
P70,2,3,1,3,1,1,2,2,1,1,17
P71,2,2,1,1,1,1,2,2,2,1,15
P72,5,5,5,5,3,5,3,5,5,5,46
P73,3,3,2,2,2,2,2,3,2,2,23
P74,2,2,3,3,1,4,5,3,3,5,31
P75,4,2,1,1,1,1,1,2,1,1,15
P76,2,3,3,4,2,3,2,4,4,3,30
P77,4,4,4,4,2,2,4,4,4,4,36
P78,1,1,1,2,1,1,1,2,1,2,13
P79,2,4,5,2,1,4,1,3,3,1,26
P80,2,1,2,2,3,3,2,2,2,2,21
P81,3,2,1,1,2,3,2,3,4,1,22
P82,3,3,2,2,2,3,1,2,2,2,22
P83,1,2,1,2,2,2,1,2,1,2,16
P84,2,3,2,3,2,4,4,2,2,5,29
P85,4,3,3,1,2,3,3,3,1,1,24
P86,4,3,5,1,1,1,4,5,2,1,27
P87,3,4,4,1,1,5,2,1,1,1,23
P88,1,2,2,2,1,2,1,2,3,1,17
P89,2,2,1,1,1,2,1,2,1,1,14
P90,4,4,3,2,1,5,2,4,1,2,28
P91,4,3,2,5,3,5,2,4,2,4,34
P92,2,4,3,1,1,1,2,2,1,2,19
P93,4,4,2,3,3,3,1,3,3,3,29
P94,1,1,2,2,1,1,2,2,2,2,16
P95,2,5,5,5,4,4,3,2,2,3,35
P96,2,1,2,1,1,2,2,1,2,2,16
P97,2,2,3,2,3,4,4,4,2,2,28
P98,2,2,3,2,1,2,3,4,4,3,26
P99,4,1,1,1,1,1,1,1,1,2,14
P100,2,1,1,2,1,2,2,2,1,2,16
