,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Total score
p1,3,2,2,2,1,1,3,2,2,2,20
p2,2,3,2,3,3,2,3,2,2,2,24
p3,4,5,4,4,4,4,5,4,4,5,43
p4,3,2,3,3,2,2,3,3,4,4,29
p5,2,1,1,1,1,3,1,1,1,1,13
p6,4,4,4,4,4,1,4,5,3,4,37
p7,3,3,3,3,2,4,3,3,3,4,31
p8,3,3,3,3,3,3,3,3,4,3,31
p9,5,5,5,5,5,5,5,5,5,4,49
p10,5,4,4,5,4,3,4,5,4,4,42
p11,3,3,2,3,2,2,1,1,2,4,23
p12,3,4,4,5,4,3,3,5,4,4,39
p13,4,4,4,4,5,4,5,5,4,4,43
p14,4,3,3,4,2,3,3,3,3,3,31
p15,4,5,3,4,4,4,4,4,4,4,40
p16,3,3,3,2,2,4,2,3,3,2,27
p17,2,2,2,1,1,1,3,3,2,2,19
p18,4,3,2,2,1,2,1,1,1,1,18
p19,5,5,5,5,1,5,2,5,1,4,38
p20,3,4,4,2,2,3,4,4,2,3,31
p21,5,4,5,4,5,4,5,5,3,2,42
p22,2,4,1,3,1,3,2,2,4,4,26
p23,3,3,4,5,4,5,4,4,5,3,40
p24,5,4,2,2,2,2,3,4,4,4,32
p25,3,3,5,4,3,3,2,3,4,3,33
p26,2,3,3,2,2,2,2,2,1,3,22
p27,4,4,4,4,3,3,3,3,3,4,35
p28,3,2,3,2,1,2,2,4,3,3,25
p29,3,3,2,3,1,2,1,1,1,2,19
p30,4,3,4,2,1,3,4,5,2,5,33
p31,4,4,4,4,3,2,5,5,3,4,38
p32,4,4,4,4,4,4,4,4,3,4,39
p33,4,3,3,4,3,2,4,5,3,5,36
p34,4,5,4,4,5,4,3,3,3,4,39
p35,4,4,5,5,2,2,2,3,4,3,34
p36,2,2,4,3,3,2,2,2,2,3,25
p37,2,1,1,1,2,2,2,2,3,2,18
p38,3,3,1,3,4,3,3,4,4,1,29
p39,3,2,4,3,4,4,3,2,4,3,32
p40,4,4,5,5,3,3,4,5,4,4,41
p41,1,1,2,1,2,1,2,3,1,2,16
p42,3,3,3,3,3,3,3,3,3,3,30
p43,5,5,5,5,5,5,5,5,4,5,49
p44,3,2,4,3,4,2,3,5,3,5,34
p45,4,3,3,4,2,5,3,3,4,4,35
p46,4,5,3,4,4,3,3,5,4,4,39
p47,2,3,1,1,1,3,4,2,3,1,21
p48,4,3,4,4,4,3,4,4,2,3,35
p49,3,3,3,3,3,3,3,3,3,3,30
p50,2,3,1,3,2,2,2,1,1,1,18
p51,1,2,2,2,2,5,2,2,2,1,21
p52,4,4,3,4,3,3,5,5,5,4,40
p53,4,4,3,4,3,5,4,4,4,4,39
p54,2,2,2,2,1,1,1,1,1,1,14
p55,2,3,1,1,1,2,3,3,2,2,20
p56,4,3,4,4,5,3,4,4,4,4,39
p57,5,5,4,4,5,5,5,4,3,3,43
p58,4,4,4,4,4,4,4,4,4,4,40
p59,3,2,2,3,2,2,2,2,2,2,22
p60,3,4,2,3,1,1,2,1,2,3,22
p61,3,4,2,4,3,2,1,1,3,4,27
p62,4,4,3,3,3,4,4,3,4,4,36
p63,4,1,5,2,3,1,5,5,3,1,30
p64,4,3,2,3,1,2,3,4,4,3,29
p65,4,4,4,4,4,3,5,5,5,3,41
p66,3,5,5,5,2,4,1,1,1,3,30
p67,2,2,5,2,1,4,4,3,4,5,32
p68,4,5,3,4,4,2,3,2,2,4,33
p69,3,4,4,5,3,3,4,5,3,5,39
p70,3,3,3,3,3,3,3,3,3,4,31
p71,2,3,2,3,2,4,2,4,4,3,29
p72,3,3,1,1,1,1,2,3,3,3,21
p73,3,3,2,3,2,2,4,2,2,2,25
p74,4,3,3,3,3,5,2,2,3,3,31
p75,4,3,3,3,3,4,4,4,4,4,36
p76,4,4,3,3,3,4,3,3,4,4,35
p77,2,2,2,2,2,4,2,2,2,2,22
p78,3,4,4,4,2,2,3,3,3,4,32
p79,4,5,4,4,3,2,5,5,4,5,41
p80,4,4,4,4,2,3,2,4,3,2,32
p81,4,4,3,4,2,5,3,4,5,3,37
p82,3,3,3,3,1,1,1,1,2,3,21
p83,4,5,3,4,4,4,2,2,2,3,33
p84,2,3,4,3,3,5,2,2,2,3,29
p85,1,2,3,1,1,4,2,3,2,1,20
p86,3,4,2,1,4,2,3,4,2,2,27
p87,3,2,4,5,4,2,3,3,1,3,30
p88,4,4,5,5,5,2,4,3,3,2,37
p89,3,3,3,3,4,5,5,5,5,5,41
p90,2,5,1,4,1,3,1,1,3,3,24
p91,3,3,2,2,2,4,2,3,3,2,26
p92,2,1,1,1,1,2,1,2,2,3,16
