,[There is a special person who is around when I am in need],[There is a special person with whom I can share my joys and sorrows],[My family really tries to help me],[I get the emotional help and support I need from my family],[I have a special person who is a real source of comfort to me],[My friends really try to help me],[I can count on my friends when things go wrong],[I can talk about my problems with my family],[I have friends with whom I can share my joys and sorrows],[There is a special person in my life who cares about my feelings],[My family is willing to help me make decisions],[I can talk about my problems with my friends],Total score
P1,1,2,6,5,2,1,2,2,2,2,4,1,30
P2,2,2,4,4,2,4,3,2,4,2,5,4,38
P3,4,4,6,6,6,7,7,6,6,4,7,7,70
P4,6,7,7,6,7,7,7,6,7,7,7,7,81
P5,2,3,2,2,1,2,3,2,1,2,1,2,23
P6,1,2,6,6,4,2,2,4,2,3,5,2,39
P7,7,7,7,7,7,6,6,7,6,7,7,7,81
P8,1,5,6,4,4,4,5,2,5,6,5,3,50
P9,2,3,7,7,6,7,7,5,7,6,7,7,71
P10,1,2,5,4,4,4,5,2,4,4,2,4,41
P11,1,1,6,6,2,3,2,5,3,1,6,3,39
P12,5,3,7,5,2,6,4,5,1,2,7,4,51
P13,6,6,7,7,5,7,7,7,7,5,7,7,78
P14,5,4,6,5,4,6,5,5,6,5,5,6,62
P15,6,6,4,4,6,6,6,4,6,6,6,6,66
P16,5,6,5,4,4,4,6,4,6,7,5,6,62
P17,1,2,7,3,3,5,6,2,5,3,7,7,51
P18,2,1,5,4,1,1,3,5,3,1,5,2,33
P19,5,6,2,1,6,5,4,2,6,5,6,3,51
P20,6,4,4,2,4,6,6,2,5,3,5,4,51
P21,7,7,4,3,7,5,4,3,5,7,3,5,60
P22,4,4,6,3,4,5,5,3,6,5,6,6,57
P23,1,1,2,1,1,3,2,1,2,1,3,1,19
P24,2,4,6,5,2,6,6,2,4,5,6,4,52
P25,5,5,7,7,3,5,7,7,6,4,7,6,69
P26,5,5,1,1,5,5,5,1,5,5,2,6,46
P27,5,5,5,4,5,7,7,5,7,3,6,7,66
P28,1,2,6,5,6,3,4,3,4,6,6,5,51
P29,2,2,5,3,2,6,5,1,6,3,5,5,45
P30,7,6,7,6,7,5,4,6,5,6,7,4,70
P31,3,5,7,7,4,7,6,6,6,5,7,7,70
P32,4,4,6,6,4,6,6,6,6,4,6,6,64
P33,5,6,7,7,6,6,6,5,6,5,7,4,70
P34,7,7,5,3,7,5,4,2,5,7,5,5,62
P35,1,1,4,4,4,4,6,2,2,3,4,4,39
P36,4,3,7,7,2,6,7,7,7,2,7,7,66
P37,1,1,6,4,1,3,3,3,6,2,3,5,38
P38,5,3,7,4,4,2,4,5,4,1,6,2,47
