,Q1,Q2,Q4,Q7,Q8,Q10,Q11,Q12,total score,,,,,,,,,,,
p1,3,4,3,2,1,2,2,2,19,,,,,,,,,,,
p2,3,3,3,2,2,3,3,2,21,,,,,,,,,,,
p3,2,1,1,1,1,4,1,1,12,,,,,,,,,,,
p4,2,2,1,2,1,1,2,1,12,,,,,,,,,,,
p5,4,5,5,5,3,1,5,5,33,,,,,,,,,,,
p6,1,3,1,1,1,2,1,1,11,,,,,,,,,,,
p7,2,3,1,2,2,2,1,2,15,,,,,,,,,,,
p8,1,1,1,1,2,2,1,1,10,,,,,,,,,,,
p9,1,1,1,1,1,1,1,1,8,,,,,,,,,,,
p10,3,4,2,2,2,3,2,1,19,,,,,,,,,,,
p11,3,4,2,3,2,4,2,2,22,,,,,,,,,,,
p12,3,2,2,1,1,1,1,3,14,,,,,,,,,,,
p13,2,1,1,1,1,1,1,1,9,,,,,,,,,,,
p14,4,5,3,3,4,4,4,2,29,,,,,,,,,,,
p15,3,1,1,1,1,1,1,1,10,,,,,,,,,,,
p16,2,1,1,1,1,2,1,1,10,,,,,,,,,,,
p17,2,3,2,4,3,1,4,1,20,,,,,,,,,,,
p18,3,2,1,3,1,3,3,1,17,,,,,,,,,,,
p19,1,5,2,1,1,2,1,2,15,,,,,,,,,,,
p20,3,2,3,2,1,1,2,1,15,,,,,,,,,,,
p21,1,1,1,1,1,2,1,3,11,,,,,,,,,,,
p22,1,3,2,1,2,3,1,1,14,,,,,,,,,,,
p23,4,4,2,5,1,2,5,2,25,,,,,,,,,,,
p24,3,4,3,4,2,2,4,2,24,,,,,,,,,,,
p25,1,1,1,1,1,1,1,1,8,,,,,,,,,,,
p26,3,2,2,4,2,2,5,2,22,,,,,,,,,,,
p27,3,2,2,1,1,3,4,1,17,,,,,,,,,,,
p28,2,1,2,1,1,1,1,1,10,,,,,,,,,,,
p29,4,4,4,5,3,4,5,3,32,,,,,,,,,,,
p30,3,3,2,2,2,4,3,2,21,,,,,,,,,,,
p31,2,1,1,2,1,1,1,1,10,,,,,,,,,,,
p32,2,1,2,2,2,2,2,1,14,,,,,,,,,,,
p33,2,3,2,3,1,4,3,1,19,,,,,,,,,,,
p34,3,2,1,2,1,1,2,1,13,,,,,,,,,,,
p35,2,3,4,4,4,1,3,4,25,,,,,,,,,,,
p36,2,1,1,1,1,1,1,1,9,,,,,,,,,,,
p37,2,2,2,2,1,2,2,2,15,,,,,,,,,,,
p38,2,3,2,2,2,4,2,2,19,,,,,,,,,,,
p39,3,2,1,2,2,1,4,3,18,,,,,,,,,,,
p40,3,2,3,2,1,1,1,1,14,,,,,,,,,,,
p41,3,2,2,4,1,3,4,1,20,,,,,,,,,,,
p42,3,2,1,2,1,2,3,1,15,,,,,,,,,,,
p43,3,3,2,3,1,1,3,1,17,,,,,,,,,,,
p44,3,1,2,1,2,1,3,1,14,,,,,,,,,,,
p45,3,2,1,2,3,3,4,1,19,,,,,,,,,,,
p46,2,2,2,2,1,1,2,1,13,,,,,,,,,,,
p47,2,4,1,3,2,4,1,4,21,,,,,,,,,,,
p48,1,1,1,1,1,1,1,1,8,,,,,,,,,,,
p49,3,2,3,1,2,1,1,1,14,,,,,,,,,,,
p50,2,2,1,1,1,4,1,3,15,,,,,,,,,,,
p51,1,5,5,5,1,1,1,1,20,,,,,,,,,,,
p52,3,3,2,2,1,2,2,1,16,,,,,,,,,,,
p53,2,2,2,4,2,4,3,2,21,,,,,,,,,,,
p54,4,4,3,4,3,1,1,1,21,,,,,,,,,,,
p55,4,3,2,1,2,1,4,1,18,,,,,,,,,,,
p56,3,2,3,1,1,1,2,4,17,,,,,,,,,,,
p57,2,3,1,4,1,3,1,1,16,,,,,,,,,,,
p58,3,1,2,4,1,1,2,1,15,,,,,,,,,,,
p59,2,2,1,1,1,1,1,1,10,,,,,,,,,,,
p60,2,1,1,4,1,1,4,1,15,,,,,,,,,,,
p61,2,3,3,2,1,1,1,1,14,,,,,,,,,,,
p62,2,3,2,3,1,1,2,1,15,,,,,,,,,,,
p63,3,4,2,5,2,5,5,3,29,,,,,,,,,,,
p64,1,3,1,1,1,2,1,1,11,,,,,,,,,,,
p65,2,2,1,1,1,2,1,1,11,,,,,,,,,,,
p66,3,4,3,2,1,5,1,1,20,,,,,,,,,,,
p67,2,3,3,3,2,3,3,1,20,,,,,,,,,,,
p68,1,3,1,5,1,1,1,1,14,,,,,,,,,,,
p69,2,3,1,1,1,1,2,1,12,,,,,,,,,,,
p70,2,2,1,1,1,1,1,1,10,,,,,,,,,,,
p71,2,3,3,3,2,4,3,2,22,,,,,,,,,,,
p72,2,1,2,1,1,1,5,4,17,,,,,,,,,,,
p73,3,4,3,3,2,2,3,2,22,,,,,,,,,,,
p74,3,5,2,3,2,3,3,4,25,,,,,,,,,,,
p75,2,2,1,1,1,2,3,1,13,,,,,,,,,,,
p76,3,1,2,1,1,2,2,2,14,,,,,,,,,,,
p77,2,2,2,1,1,3,1,1,13,,,,,,,,,,,
p78,1,2,1,1,1,2,1,1,10,,,,,,,,,,,
p79,4,4,1,5,1,2,4,1,22,,,,,,,,,,,
p80,2,2,2,2,2,2,2,2,16,,,,,,,,,,,
p81,1,2,1,1,2,3,1,2,13,,,,,,,,,,,
p82,2,1,2,1,1,3,2,1,13,,,,,,,,,,,
p83,2,2,2,3,1,3,3,1,17,,,,,,,,,,,
p84,5,4,1,1,1,1,4,2,19,,,,,,,,,,,
p85,2,3,2,2,2,3,3,1,18,,,,,,,,,,,
p86,1,1,1,1,1,4,1,4,14,,,,,,,,,,,
p87,3,1,2,1,1,1,1,2,12,,,,,,,,,,,
p88,2,4,2,2,1,4,2,1,18,,,,,,,,,,,
p89,1,1,1,1,1,1,1,1,8,,,,,,,,,,,
p90,1,2,2,1,2,3,2,1,14,,,,,,,,,,,
p91,2,3,2,4,1,5,1,1,19,,,,,,,,,,,
p92,3,1,2,3,1,4,5,1,20,,,,,,,,,,,
p93,3,3,2,2,1,4,3,1,19,,,,,,,,,,,
p94,2,4,2,3,4,4,2,1,22,,,,,,,,,,,
p95,4,3,2,5,1,1,4,1,21,,,,,,,,,,,
p96,2,2,3,5,2,2,3,1,20,,,,,,,,,,,
p97,3,3,3,3,3,3,3,4,25,,,,,,,,,,,
p98,3,3,2,3,3,2,3,1,20,,,,,,,,,,,
p99,2,3,1,4,1,2,2,1,16,,,,,,,,,,,
p100,2,3,2,2,1,3,3,2,18,,,,,,,,,,,
p101,2,3,2,1,1,1,2,1,13,,,,,,,,,,,
p102,4,3,2,2,2,1,1,1,16,,,,,,,,,,,
p103,2,3,2,2,2,3,2,1,17,,,,,,,,,,,
p104,2,1,1,1,1,3,2,1,12,,,,,,,,,,,
p105,2,2,2,1,2,2,3,2,16,,,,,,,,,,,
p106,3,2,3,2,1,2,2,2,17,,,,,,,,,,,
p107,2,2,2,1,1,1,1,1,11,,,,,,,,,,,
p108,2,1,2,2,2,3,2,1,15,,,,,,,,,,,
p109,2,1,2,2,2,1,3,2,15,,,,,,,,,,,
p110,4,5,4,4,2,3,3,3,28,,,,,,,,,,,
p111,2,3,2,3,4,4,2,2,22,,,,,,,,,,,
p112,1,3,2,3,2,3,2,2,18,,,,,,,,,,,
p113,2,2,2,1,1,3,2,1,14,,,,,,,,,,,
p114,3,1,2,1,1,2,2,2,14,,,,,,,,,,,
p115,1,1,1,2,1,1,1,1,9,,,,,,,,,,,
p116,3,2,2,3,2,1,3,4,20,,,,,,,,,,,
p117,3,3,3,3,2,3,2,1,20,,,,,,,,,,,
p118,3,2,2,3,2,3,2,1,18,,,,,,,,,,,
p119,1,2,2,1,1,2,2,3,14,,,,,,,,,,,
p120,2,3,1,3,2,3,3,1,18,,,,,,,,,,,
p121,3,2,2,4,3,4,3,2,23,,,,,,,,,,,
p122,4,5,1,4,1,1,3,1,20,,,,,,,,,,,
p123,2,2,1,2,1,3,2,2,15,,,,,,,,,,,
p124,2,2,1,1,1,2,4,1,14,,,,,,,,,,,
p125,1,1,1,1,1,1,1,1,8,,,,,,,,,,,
p126,2,2,2,3,1,2,3,2,17,,,,,,,,,,,
p127,1,2,2,1,2,1,1,1,11,,,,,,,,,,,
p128,1,1,1,1,1,1,1,2,9,,,,,,,,,,,
p129,3,4,2,3,2,3,3,1,21,,,,,,,,,,,
p130,3,2,2,4,2,4,3,2,22,,,,,,,,,,,
p131,3,3,2,1,4,1,3,1,18,,,,,,,,,,,
p132,2,2,1,2,1,2,3,1,14,,,,,,,,,,,
p133,4,2,2,4,2,2,3,2,21,,,,,,,,,,,
p134,4,1,2,4,1,1,2,1,16,,,,,,,,,,,
p135,3,1,1,4,1,2,2,1,15,,,,,,,,,,,
p136,3,3,3,2,2,3,4,3,23,,,,,,,,,,,
p137,3,3,2,1,1,4,2,1,17,,,,,,,,,,,
p138,2,1,1,2,1,1,1,3,12,,,,,,,,,,,
p139,3,3,2,2,2,2,2,2,18,,,,,,,,,,,
p140,2,4,2,1,1,4,1,1,16,,,,,,,,,,,
p141,3,4,3,4,2,4,3,1,24,,,,,,,,,,,
p142,3,2,3,3,1,2,1,1,16,,,,,,,,,,,
p143,2,2,2,2,2,3,4,2,19,,,,,,,,,,,
p144,3,2,3,2,2,3,3,2,20,,,,,,,,,,,
p145,1,1,1,1,1,1,1,1,8,,,,,,,,,,,
p146,2,1,1,1,1,3,1,1,11,,,,,,,,,,,
p147,3,2,1,2,3,3,2,1,17,,,,,,,,,,,
p148,2,1,2,2,1,1,1,1,11,,,,,,,,,,,
p149,2,1,1,1,1,2,2,1,11,,,,,,,,,,,
p150,2,1,1,2,1,3,3,1,14,,,,,,,,,,,
p151,3,3,3,3,2,2,4,1,21,,,,,,,,,,,
p152,1,1,1,1,1,2,1,1,9,,,,,,,,,,,
p153,3,2,1,1,2,1,1,2,13,,,,,,,,,,,
p154,3,1,3,4,1,1,1,3,17,,,,,,,,,,,
p155,1,2,1,1,1,2,1,1,10,,,,,,,,,,,
p156,1,1,1,1,1,1,2,1,9,,,,,,,,,,,
p157,2,1,2,3,1,1,2,3,15,,,,,,,,,,,
p158,2,1,1,2,1,1,2,1,11,,,,,,,,,,,
p159,2,1,2,5,1,2,3,1,17,,,,,,,,,,,
p160,4,4,3,5,2,2,4,4,28,,,,,,,,,,,
p161,1,1,1,1,1,1,1,1,8,,,,,,,,,,,
