Mithoon,Intezaar
Suryansh Bhatt,Shillong
Atif Aslam,Kadi Te Has Bol
Mike Posner,I Took A Pill In Ibiza - Seeb Remix
Harry Styles,Watermelon Sugar
Farasat Anees,BIBA
€URO TRA$H,Karate
Sidhu Moose Wala,Outlaw
Melanie Martinez,Play Date
WUKONG,The Monkey King
The Yellow Diary,Tere Jeya Hor Disda
fenekot,Habits (Stay High) (Slowed + Reverb)
kidolitx,Amantes (lofi) - Remix
vaultboy,i think i wanna text u
Shamoon Ismail,Marijuana
G-Eazy,"Me, Myself & I"
Frank Ocean,Nights
MC Heam,Woh
Danny Zee,Akhiyaan
Cigarettes After Sex,Apocalypse
Drake,Hotline Bling
Imagine Dragons,Thunder
Kygo,Stranger Things (feat. OneRepublic) - Alan Walker Remix
OneRepublic,Counting Stars
Mike Perry,Hands
ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit
Martin Garrix,In the Name of Love
Jonas Blue,Rise
Alan Walker,Faded
Tom Walker,Leave a Light On
Clean Bandit,Symphony (feat. Zara Larsson)
Barns Courtney,Fire
The Score,Never Going Back
Marshmello,Silence
League of Legends,Legends Never Die - (Remix)
Jon Bellion,All Time Low
KALEO,Way down We Go
The Chainsmokers,This Feeling
X Ambassadors,Unsteady
Axwell /\ Ingrosso,More Than You Know
Ed Sheeran,Castle on the Hill
Bebe Rexha,I'm a Mess
Welshly Arms,Legendary
HRJXT,12
Pritam,Darasal
Rahat Fateh Ali Khan,"Surili Akhiyon Wale (From ""Veer"")"
Salman Khan,Main Hoon Hero Tera (Salman Khan Version)
Zaeden,tere bina
Darshan Raval,Tera Zikr
Lykke Li,sex money feelings die
French Montana,Unforgettable
Loote,85%
John Mayer,All I Want Is to Be With You
Bob Marley & The Wailers,Three Little Birds
Ritviz,Chalo Chalein
Sasha Alex Sloan,Dancing With Your Ghost
Dylan,Nineteen
Arijit Singh,Tum Hi Ho
Vishal Mishra,Manjha
Mithoon,"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)"
Arjun,Can't Forget You (Tujhe Bhula Diya)
Kailash Kher,Saiyyan
Vilen,Chidiya
Hozier,Take Me To Church
Lolo Zouaï,Desert Rose
Kamal Khan,Ishq Sufiyana (Male)
Sachet Tandon,Mere Sohneya
Shreya Ghoshal,Yeh Aaina
Akhil Sachdeva,Tera Ban Jaunga
Armaan Malik,Pehla Pyaar
Jasleen Royal,"Ranjha (From ""Shershaah"")"
Lord Huron,The Night We Met (feat. Phoebe Bridgers)
HONNE,COMING HOME (feat. NIKI)
Mridul Krishnan Shastri,Barsane Wali Radhe
Mika Singh,Piya More
Diljit Dosanjh,Lover
Charlie Puth,Girlfriend
Omiki,Devil in Me
CR3WFX,Get Fucked Up!
Bassfactor,Hope
Pandora,Ways
Mandragora,Future Intelligence
Alchimyst,Rudra
Vini Vici,My World
Middle-D,Lion's Den
David Forbes,Quantum
Coexist,Don't Go - Original mix
Post Malone,Feeling Whitney
Kanye West,Moon
Joji,YEAH RIGHT
Labrinth,Formula
PARTYNEXTDOOR,Break from Toronto
Gucci Mane,Wake Up in the Sky
All In One,All in One - Strangers
Young Bull,Egyptian Joint (All I Need)
XXXTENTACION,SAD!
Jaden,Summertime In Paris
Blastoyz,Mandala
Billie Eilish,xanny
Yashraj Mukhate,Bing Bing Boo!
Aaryan Shah,Renegade
Tyga,Ice Cream Man
Ganja White Night,Jungle Juice
Kenndog,Beethoven
BlackGummy,Neverdeader
Adna,"Run, Lucifer"
21 Savage,Run Up the Racks
Doja Cat,I Don't Do Drugs (feat. Ariana Grande)
Major Lazer,Jadi Buti (feat. Rashmeet Kaur)
Airesis,Filitsa
Familia,Passenger
Egorythmia,Bloom - Original Mix
Tundra Beats,Say It
"Tyler, The Creator",See You Again (feat. Kali Uchis)
Lofi Fruits Music,Stan
Princ£ Aureliu$,Drugs You Should Try It
Kendrick Lamar,PRIDE.
COY,Forever in My Mind
Babalos,Snow Crystal
Travis Scott,Maria I'm Drunk (feat. Justin Bieber & Young Thug)
Fresco Trey,Fresh Off A Heartbreak
King,Tu Aake Dekhle
ILLENIUM,In Your Arms (with X Ambassadors)
DEAMN,Carousel
benny blanco,Eastside (with Halsey & Khalid)
Lvly,Sorry (Come Back)
Jawsh 685,Savage Love (Laxed - Siren Beat)
Prem Dhillon,Old Skool
Martin Jensen,Nobody
Jetta,I'd Love To Change The World - Matstubs Remix
Diplo,Lonely (with Jonas Brothers)
Looply,Power of Music
RΛKHZ,Journey
Alok,Vale Vale
Lauv,Paris in the Rain
Gryffin,Body Back (feat. Maia Wright)
Halsey,Without Me
Alesso,Midnight (feat. Liam Payne)
Kid Cudi,Pursuit Of Happiness (Nightmare)
Midival Punditz,Nukhta - Sickflip Remix
The Bilz & Kashif,Tera Nasha
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)"
Khalid,Young Dumb & Broke
Hi Profile,In the Ocean - Original Mix
Dutch Hour,Technomix
RAM,Pills & Thrills
Garmiani,Bomb A Drop
Shubh,NO LOVE
The Weeknd,Take My Breath
Charli XCX,Used To Know Me
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby)
Glass Animals,Heat Waves
Slava (NL),A New World
Mokita,colorblind
Akshath,Dooriyan
mehro,perfume
Troye Sivan,What A Heavenly Way To Die
Alec Benjamin,Let Me Down Slowly (feat. Alessia Cara)
Charlotte Lawrence,Slow Motion
Vansire,Nice to See You
Gracie Abrams,Friend
Goody Grace,On Repeat (feat. Cigarettes After Sex & Lexi Jayde)
Ashe,Moral of the Story
Roy Woods,Drama (feat. Drake)
Clara Mae,Loved You Once
Olivia O'Brien,hate u love u
Boy In Space,7UP
The Neighbourhood,Reflections
Strawberry Guy,Mrs Magic
Bruno Major,Nothing
girl in red,we fell in love in october
Ghostly Kisses,Where Do Lovers Go?
Pink Floyd,Time
Yoke Lore,Seeds
Acid Ghost,Sandy Kim
Lana Del Rey,Happiness is a butterfly
Blake Rose,Ordinary People
CASTLEBEAT,Change Your Mind
LANY,nobody else
KSI,Holiday
Eida,Nightdriver
Sam Smith,Like I Can
Amit Trivedi,Naina Da Kya Kasoor
