artistName,trackName
Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")"
Jasleen Royal,Ranjha
Javed-Mohsin,Kabhii Tumhhe
B Praak,Mann Bharryaa 2.0
Kombonka,Jaahilol
Sneha Khanwalkar,Jaahil
Deep Jandu,Bombay to Punjab
Yo Yo Honey Singh,Blue Eyes
Zack Knight,Bom Diggy
Amaal Mallik,"Chale Aana (From ""De De Pyaar De"")"
Dwayne Bravo,Champion
Sia,Cheap Thrills (feat. Sean Paul)
Fazilpuria,Chull (feat. Badshah)
The Chainsmokers,Closer
Mika Singh,Aapka Kya Hoga (Dhanno)
Maroon 5,Animals
Amit Trivedi,Naina Da Kya Kasoor
Badshah,Mercy
Nusrat Fateh Ali Khan,Mere Rashke Qamar
Guru Randhawa,"Nachle Na (From ""Dil Juunglee"")"
Alan Walker,On My Way
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez)
Millind Gaba,Shanti
Justin Bieber,What Do You Mean?
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)"
Sonu Nigam,Jeene Ke Hain Chaar Din
Pritam,Tha Kar Ke
BTS,Dynamite
Rochak Kohli,Dekhte Dekhte
Atif Aslam,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")"
Black Eyed Peas,GIRL LIKE ME
Sunanda Sharma,Jaani Tera Naa
Mannat Noor,Laung Laachi Title Track
Welshly Arms,Legendary
Dhvani Bhanushali,Mera Yaar
DJ Snake,Let Me Love You
Ritviz,Liggi
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey"""
Shakira,Hips Don't Lie (feat. Wyclef Jean)
Udit Narayan,Dil Ne Yeh Kaha Hain Dil Se
Darshan Raval,Teri Aankhon Mein
QARAN,Haaye Oye (feat. Ash King)
Camila Cabello,Havana (feat. Young Thug)
Calvin Harris,Summer
Akhil,Khaab
Jasbir Jassi,"Koka (From ""Khandaani Shafakhana"")"
Shawn Mendes,Treat You Better
Marshmello,FRIENDS
One Direction,Drag Me Down
Jaz Dhami,High Heels
Sachin-Jigar,Faltu
Jassie Gill,Bapu Zimidar
Imagine Dragons,Believer
Harrdy Sandhu,Hornn Blow
Sukh-E Muzical Doctorz,Suicide
Manni Sandhu,Gani
Eminem,Without Me
Kendrick Lamar,HUMBLE.
24kGoldn,Mood (feat. iann dior)
Travis Scott,goosebumps
2Pac,California Love - Original Version
The Ranveer Show,"""My HONEST Journey to 200 Crores"" - Harshil Karia on Sacrificing for Success | The Ranveer Show 44"
Dua Lipa,Levitating
Renuka Panwar,52 Gaj Ka Daman
The Rare Occasions,Notion
Drake,Knife Talk (with 21 Savage ft. Project Pat)
The Weeknd,Blinding Lights
Central Cee,Loading
Ed Sheeran,Shape of You
Khel Crime Ka (Hindi Crime Podcast),BTS Scams Vs. BTS Fans
wolf.cryman,Diwana
Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack
