endTime,artistName,trackName,msPlayed
2021-09-27 17:46,Olivia Rodrigo,drivers license,194165
2021-10-02 07:57,Olivia Rodrigo,drivers license,243721
2021-10-02 08:02,VINAI,Rise Up (feat. Vamero),182000
2021-10-02 08:05,Khalid,Young Dumb & Broke,202546
2021-10-02 08:08,Robin Schulz,All We Got (feat. KIDDO),190218
2021-10-02 08:30,Arijit Singh,Mast Magan,280161
2021-10-02 08:34,Justin Bieber,Hold On,170813
2021-10-02 08:38,CY8ER,DokidokiParirarura (2017MIX),200533
2021-10-02 08:41,Ritviz,Liggi,181176
2021-10-02 08:56,Mako,Our Story - Radio Edit,117554
2021-10-02 09:03,The Freelance Fix,S1 E1: Meet + Greet (My Freelance Story),315385
2021-10-04 03:46,Nicki Minaj,Black Barbies,12290
2021-10-04 03:49,Kygo,Lose Somebody,199549
2021-10-04 03:52,OneRepublic,Run,169010
2021-10-04 03:56,Ed Sheeran,Shivers,207853
2021-10-04 03:59,BANNERS,Someone To You,219801
2021-10-04 04:03,Gryffin,Safe With Me (with Audrey Mika),205164
2021-10-04 04:06,Alesso,Midnight (feat. Liam Payne),220140
2021-10-04 04:09,The Kid LAROI,STAY (with Justin Bieber),141805
2021-10-04 04:20,Surfaces,Sheesh!,93719
2021-10-04 09:10,Ed Sheeran,Bad Habits,231041
2021-10-04 09:13,grandson,Blood // Water,216720
2021-10-04 09:16,Alex Sampson,Play Pretend,185883
2021-10-04 09:20,Kygo,Gone Are The Days (feat. James Gillespie),196677
2021-10-04 09:23,Tones And I,Fly Away,178156
2021-10-04 09:33,Nicki Minaj,Black Barbies,205
2021-10-06 01:59,Ed Sheeran,Bad Habits,1637
2021-10-06 01:59,grandson,Blood // Water,2530
2021-10-06 02:02,Alex Sampson,Play Pretend,185883
2021-10-06 02:06,Kygo,Gone Are The Days (feat. James Gillespie),196677
2021-10-06 02:09,Nicki Minaj,Black Barbies,0
2021-10-06 02:09,Tones And I,Fly Away,178156
2021-10-06 02:13,Kygo,Gone Are The Days (feat. James Gillespie),196677
2021-10-06 02:15,Tones And I,Fly Away,178156
2021-10-06 02:21,Nicki Minaj,Black Barbies,254080
2021-10-06 02:23,Ribin Richard,Chekuthan,141691
2021-10-06 02:27,Tones And I,Fly Away,5346
2021-10-06 02:27,Kygo,Gone Are The Days (feat. James Gillespie),196677
2021-10-06 02:29,Kygo,Gone Are The Days (feat. James Gillespie),131436
2021-10-08 02:20,Kygo,Gone Are The Days (feat. James Gillespie),197949
2021-10-08 02:27,Nicki Minaj,Black Barbies,504
2021-10-08 02:27,Tones And I,Fly Away,178156
2021-10-08 02:31,Ed Sheeran,Bad Habits,231041
2021-10-08 02:33,grandson,Blood // Water,95186
